comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,exact_mcnemar_p,100,1.0,,,,0,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,final_return,100,-0.3572529874834429,-0.35680570736430056,-0.36188251464142895,-0.3526234603254569,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,final_q,100,-0.34877417982165954,-0.3450797082080979,-0.35693827857056987,-0.3406100810727492,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,final_pi1_good,100,-0.2253316371657146,-0.22498113843935597,-0.2283319937135318,-0.22233128061789742,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,zero_s1_batch_fraction,100,-0.00031765165857689377,0.0,-0.00044436383421772986,-0.0001909394829360577,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,near_optimal_basin,100,-1.0,-1.0,-1.0,-1.0,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,exact_mcnemar_p,100,1.5777218104420236e-30,,,,100,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,final_return,100,-0.02696031023439963,-0.03720678620887907,-0.03589850226351478,-0.01802211820528448,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,final_q,100,-0.012079816380926305,-0.036483375437478704,-0.0283101288109123,0.00415049604905969,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,final_pi1_good,100,-0.017973695207004023,-0.024010707196581216,-0.023360286156677963,-0.01258710425733008,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,zero_s1_batch_fraction,100,-0.0039000000000000003,0.0050000000000000044,-0.010257099559958793,0.0024570995599587924,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,exact_mcnemar_p,100,1.0,,,,0,0
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,final_return,100,0.1695972142786875,0.04950888969109013,0.10741762033757347,0.23177680821980157,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,final_q,100,0.2988537354619665,0.09467624190607227,0.20032513057656948,0.39738234034736347,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,final_pi1_good,100,0.16186049074278877,0.003148656645198089,0.08964862158095471,0.23407235990462283,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,zero_s1_batch_fraction,100,-0.08538741175072857,-0.0334411712318689,-0.13019977991295145,-0.04057504358850571,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,near_optimal_basin,100,0.23,0.0,0.10120718085594765,0.35879281914405237,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,exact_mcnemar_p,100,0.0010885382064742544,,,,12,35
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,final_return,100,-0.024351134480482893,-0.09308325936565892,-0.07815679395625952,0.029454524995293725,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,final_q,100,-0.187499178694312,-0.196099560978109,-0.26859836806503223,-0.10639998932359178,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,final_pi1_good,100,-0.143568063357206,-0.022163592177804448,-0.20388998687660964,-0.0832461398378024,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,zero_s1_batch_fraction,100,0.0760308246420964,-0.012101694915254237,0.033747796552904004,0.1183138527312888,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,near_optimal_basin,100,0.31,0.0,0.2177689937353296,0.4022310062646704,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,exact_mcnemar_p,100,9.313225746154785e-10,,,,0,31
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,final_return,100,0.17220639003260416,0.26847020683529776,0.1293508371797776,0.2150619428854307,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,final_q,100,0.12343437314858084,0.23873163305023742,0.060779108532305004,0.18608963776485668,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,final_pi1_good,100,0.036266122592586755,0.14811908431722454,-0.011212807479566711,0.08374505266474022,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,zero_s1_batch_fraction,100,-0.005456587108632183,-0.04230895158481365,-0.027897993716070334,0.01698481949880597,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,near_optimal_basin,100,0.54,1.0,0.440608933581603,0.639391066418397,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,exact_mcnemar_p,100,1.1102230246251565e-16,,,,0,54
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,final_return,100,-0.15607114777502776,-0.1625256780982744,-0.16236959409101295,-0.14977270145904256,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,final_q,100,-0.18677269560642837,-0.19573664022124448,-0.19652403901859294,-0.1770213521942638,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,final_pi1_good,100,-0.1380868008847067,-0.13939891267017418,-0.1407315122760779,-0.1354420894933355,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,zero_s1_batch_fraction,100,0.0155,0.016,0.013853233969199389,0.01714676603080061,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,exact_mcnemar_p,100,1.0,,,,0,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,final_return,100,-0.18476718040268064,-0.24596312162212836,-0.21979244789837804,-0.14974191290698324,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,final_q,100,-0.10164163821835377,-0.1801075108582681,-0.1596815763629318,-0.043601700073775757,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,final_pi1_good,100,-0.08997596244463839,-0.16517522677661012,-0.13101816054743562,-0.04893376434184115,,
