Update 0383/1200 | return 161.9839 | 5.6s
Update 0384/1200 | return 162.1065 | 5.7s
Update 0385/1200 | return 162.5906 | 5.8s
Update 0386/1200 | return 162.5263 | 5.5s
Update 0387/1200 | return 162.0492 | 5.7s
Update 0388/1200 | return 161.6463 | 5.7s
Update 0389/1200 | return 162.2928 | 5.7s
Update 0390/1200 | return 162.6236 | 5.9s
Update 0391/1200 | return 163.2389 | 5.9s
Update 0392/1200 | return 162.4236 | 5.7s
Update 0393/1200 | return 161.8884 | 5.8s
Update 0394/1200 | return 162.7094 | 5.9s
Update 0395/1200 | return 162.8204 | 5.7s
Update 0396/1200 | return 163.1412 | 5.7s
Update 0397/1200 | return 163.1359 | 5.7s
Update 0398/1200 | return 163.4337 | 5.7s
Update 0399/1200 | return 163.4208 | 5.9s
Update 0400/1200 | return 163.6791 | 5.9s
Update 0401/1200 | return 164.1567 | logdet -3125.99 | lambda_min 1.694e-08 | 28.9s
Update 0402/1200 | return 163.4034 | 5.8s
Update 0403/1200 | return 162.6368 | 5.7s
Update 0404/1200 | return 162.1898 | 5.7s
Update 0405/1200 | return 163.4814 | 5.8s
Update 0406/1200 | return 162.6838 | 5.6s
Update 0407/1200 | return 162.9207 | 5.7s
Update 0408/1200 | return 162.0145 | 5.9s
Update 0409/1200 | return 162.4743 | 5.6s
Update 0410/1200 | return 161.4139 | 5.7s
Update 0411/1200 | return 161.7637 | 5.8s
Update 0412/1200 | return 161.2948 | 5.8s
Update 0413/1200 | return 161.3340 | 5.7s
Update 0414/1200 | return 161.6329 | 5.7s
Update 0415/1200 | return 161.1125 | 5.6s
Update 0416/1200 | return 160.9480 | 5.8s
Update 0417/1200 | return 160.2898 | 5.8s
Update 0418/1200 | return 161.1312 | 5.6s
Update 0419/1200 | return 160.5714 | 5.8s
Update 0420/1200 | return 161.5919 | 5.6s
Update 0421/1200 | return 162.3396 | 5.7s
Update 0422/1200 | return 161.0831 | 5.8s
Update 0423/1200 | return 161.7120 | 5.7s
Update 0424/1200 | return 162.3763 | 5.8s
Update 0425/1200 | return 162.4723 | 5.8s
Update 0426/1200 | return 161.4878 | 5.8s
