method,beta,q,p_good,dq_dt,dp_good_dt,speed,pooled_regularizer_dq_dt,joint_regularizer_dq_dt,joint_correction_dq_dt,cosine_pooled_joint_regularizer,cosine_pooled_joint_defined
pooled_policy_logdet,0.1,0.38249999999999995,0.03,-0.011727288064917477,0.001749534740625,0.011857072031754285,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9860904367050672,True
pooled_policy_logdet,0.1,0.38249999999999995,0.08875,-0.008040083810382563,0.005818552517896269,0.009924641105928859,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9809291649970148,True
pooled_policy_logdet,0.1,0.38249999999999995,0.1475,-0.004352879555847651,0.010160198885949706,0.011053379656456667,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9734523798751551,True
pooled_policy_logdet,0.1,0.38249999999999995,0.20625,-0.0006656753013127448,0.014191242249011988,0.014206846243164619,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9649848171684801,True
pooled_policy_logdet,0.1,0.38249999999999995,0.265,0.003021528953222172,0.01745148544863281,0.017711125926349307,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.968533997690675,True
pooled_policy_logdet,0.1,0.38249999999999995,0.32375,0.006708733207757084,0.019603765763684847,0.020719911519364285,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9986687635610295,True
pooled_policy_logdet,0.1,0.38249999999999995,0.38249999999999995,0.010395937462291992,0.020433954910363764,0.02292644824212127,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9772172408811396,True
pooled_policy_logdet,0.1,0.38249999999999995,0.44125,0.014083141716826907,0.01985095904218826,0.024339175325200853,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.963505326234064,True
pooled_policy_logdet,0.1,0.38249999999999995,0.5,0.017770345971361817,0.017886718749999996,0.025213486541601035,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9705687097569727,True
pooled_policy_logdet,0.1,0.38249999999999995,0.55875,0.021457550225896717,0.014696209061963658,0.02600778772771385,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9787598798253975,True
pooled_policy_logdet,0.1,0.38249999999999995,0.6174999999999999,0.02514475448043164,0.010557439443566897,0.027271197360691172,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9846274416499724,True
pooled_policy_logdet,0.1,0.38249999999999995,0.67625,0.028831958734966558,0.005871453797620383,0.02942372876085567,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9885726031407589,True
