experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,complete_weighted_oracle,adverse,4,0.1,q,0.23396518027171603,0.22115295644667024,0.24677740409676183,20
main,complete_weighted_oracle,adverse,4,0.1,pi1_a0,0.22610342845935788,0.19702438956190269,0.25518246735681305,20
main,uniform_action_oracle,adverse,4,0.1,population_return,0.09881389912692284,0.06931610804058892,0.12831169021325678,20
main,uniform_action_oracle,adverse,4,0.1,q,0.5592014700041728,0.5041434247449119,0.6142595152634336,20
main,uniform_action_oracle,adverse,4,0.1,pi1_a0,0.6992163231920927,0.6689272689483905,0.7295053774357949,20
main,visitation_only_oracle,adverse,4,0.1,population_return,-0.0703866159692906,-0.07148900676599569,-0.06928422517258552,20
main,visitation_only_oracle,adverse,4,0.1,q,0.18632273677317923,0.1831610059486982,0.18948446759766027,20
main,visitation_only_oracle,adverse,4,0.1,pi1_a0,0.0015297406726267246,0.0007936168790904421,0.0022658644661630073,20
main,full_pooled_fisher_oracle,adverse,4,0.1,population_return,0.2919996119494467,0.2878107638777419,0.29618846002115146,20
main,full_pooled_fisher_oracle,adverse,4,0.1,q,0.8251661813892184,0.818753964688403,0.8315783980900338,20
main,full_pooled_fisher_oracle,adverse,4,0.1,pi1_a0,0.8491116657914992,0.8469872256047055,0.8512361059782929,20
main,detached_conditional_sampled,adverse,4,0.1,population_return,-0.09868729841835559,-0.10386310171895759,-0.0935114951177536,20
main,detached_conditional_sampled,adverse,4,0.1,q,0.2352123730689133,0.22321035645534806,0.24721438968247852,20
main,detached_conditional_sampled,adverse,4,0.1,pi1_a0,0.2345222434842497,0.1998222220389294,0.26922226492956997,20
main,detached_conditional_oracle,adverse,4,0.2,population_return,0.1038196733719505,0.09571134374205534,0.11192800300184566,20
main,detached_conditional_oracle,adverse,4,0.2,q,0.5955309201518804,0.580534389435152,0.6105274508686087,20
main,detached_conditional_oracle,adverse,4,0.2,pi1_a0,0.7335345870812904,0.7278608967113142,0.7392082774512666,20
main,complete_weighted_oracle,adverse,4,0.2,population_return,0.07969968146709878,0.07248784603162649,0.08691151690257108,20
main,complete_weighted_oracle,adverse,4,0.2,q,0.5491804997251067,0.5347175340063787,0.5636434654438348,20
main,complete_weighted_oracle,adverse,4,0.2,pi1_a0,0.7223592900874087,0.7171876534839932,0.7275309266908243,20
main,uniform_action_oracle,adverse,4,0.2,population_return,0.09557837907446727,0.0881320695395775,0.10302468860935704,20
main,uniform_action_oracle,adverse,4,0.2,q,0.6192493769978547,0.6056384208079274,0.6328603331877819,20
main,uniform_action_oracle,adverse,4,0.2,pi1_a0,0.6879416509475209,0.6810430992979162,0.6948402025971256,20
main,visitation_only_oracle,adverse,4,0.2,population_return,-0.10820629353082431,-0.10995892027705999,-0.10645366678458863,20
main,visitation_only_oracle,adverse,4,0.2,q,0.31432126848442576,0.3089089346691955,0.31973360229965603,20
main,visitation_only_oracle,adverse,4,0.2,pi1_a0,0.0030294891586714317,0.0014291891308655478,0.004629789186477316,20
main,full_pooled_fisher_oracle,adverse,4,0.2,population_return,0.13184033073566362,0.12558003286251213,0.1381006286088151,20
main,full_pooled_fisher_oracle,adverse,4,0.2,q,0.6765321185422447,0.6670801874133004,0.685984049671189,20
main,full_pooled_fisher_oracle,adverse,4,0.2,pi1_a0,0.7141045780484425,0.7083301673649534,0.7198789887319317,20
main,detached_conditional_sampled,adverse,4,0.2,population_return,0.10223005832142062,0.0945127904117911,0.10994732623105015,20
main,detached_conditional_sampled,adverse,4,0.2,q,0.5890254081158937,0.5737002311222216,0.6043505851095657,20
main,detached_conditional_sampled,adverse,4,0.2,pi1_a0,0.7375613144710836,0.7329499733951599,0.7421726555470074,20
main,detached_conditional_oracle,adverse,32,0.01,population_return,-0.013461539026127489,-0.013517134022089095,-0.013405944030165883,20
