update,true_environment_steps,training_return,training_episode_length,beta
65,134784,-115.875,116.875,0.0
66,135783,-123.875,124.875,0.0
67,136875,-135.5,136.5,0.0
68,137874,-123.875,124.875,0.0
69,138960,-134.75,135.75,0.0
70,140048,-135.0,136.0,0.0
71,141098,-130.25,131.25,0.0
72,142159,-131.625,132.625,0.0
73,143145,-122.25,123.25,0.0
74,144002,-106.125,107.125,0.0
75,145113,-137.875,138.875,0.0
76,146048,-115.875,116.875,0.0
77,146949,-111.625,112.625,0.0
78,147904,-118.375,119.375,0.0
79,148924,-126.5,127.5,0.0
80,150057,-140.625,141.625,0.0
81,151072,-125.875,126.875,0.0
82,152000,-115.0,116.0,0.0
83,152967,-119.875,120.875,0.0
84,153902,-115.875,116.875,0.0
85,154842,-116.5,117.5,0.0
86,155790,-117.5,118.5,0.0
87,156690,-111.5,112.5,0.0
88,157562,-108.0,109.0,0.0
89,158417,-105.875,106.875,0.0
90,159392,-120.875,121.875,0.0
91,160195,-99.375,100.375,0.0
92,160961,-94.75,95.75,0.0
93,162093,-140.5,141.5,0.0
94,162972,-108.875,109.875,0.0
95,163810,-103.75,104.75,0.0
96,164795,-122.125,123.125,0.0
97,165602,-99.875,100.875,0.0
98,166636,-128.25,129.25,0.0
99,167487,-105.375,106.375,0.0
100,168297,-100.25,101.25,0.0
101,169121,-102.0,103.0,0.0
102,169972,-105.375,106.375,0.0
103,170792,-101.5,102.5,0.0
104,171610,-101.25,102.25,0.0
105,172395,-97.125,98.125,0.0
106,173287,-110.5,111.5,0.0
107,174180,-110.625,111.625,0.0
108,175000,-101.5,102.5,0.0
109,175856,-106.0,107.0,0.0
110,176702,-104.75,105.75,0.0
111,177450,-92.5,93.5,0.0
112,178230,-96.5,97.5,0.0
113,179186,-118.5,119.5,0.0
114,179914,-90.0,91.0,0.0
115,180692,-96.25,97.25,0.0
116,181426,-90.75,91.75,0.0
117,182187,-94.125,95.125,0.0
118,183007,-101.5,102.5,0.0
119,183822,-100.875,101.875,0.0
120,184724,-111.75,112.75,0.0
121,185476,-93.0,94.0,0.0
122,186231,-93.375,94.375,0.0
123,187057,-102.25,103.25,0.0
124,187957,-111.5,112.5,0.0
125,188802,-104.625,105.625,0.0
126,189576,-95.75,96.75,0.0
127,190356,-96.5,97.5,0.0
128,191260,-112.0,113.0,0.0
129,192089,-102.625,103.625,0.0
130,192870,-96.625,97.625,0.0
131,193593,-89.375,90.375,0.0
132,194441,-105.0,106.0,0.0
133,195237,-98.5,99.5,0.0
134,196111,-108.25,109.25,0.0
135,196797,-84.75,85.75,0.0
136,197796,-123.875,124.875,0.0
137,198686,-110.25,111.25,0.0
138,199511,-102.125,103.125,0.0
139,200179,-82.5,83.5,0.0
140,201034,-105.875,106.875,0.0
141,201719,-84.625,85.625,0.0
142,202330,-75.375,76.375,0.0
143,203266,-116.0,117.0,0.0
144,203910,-79.5,80.5,0.0
145,204650,-91.5,92.5,0.0
146,205345,-85.875,86.875,0.0
147,206063,-88.75,89.75,0.0
148,207058,-123.375,124.375,0.0
149,207721,-81.875,82.875,0.0
150,208662,-116.625,117.625,0.0
151,209377,-88.375,89.375,0.0
152,210129,-93.0,94.0,0.0
153,210807,-83.75,84.75,0.0
154,211455,-80.0,81.0,0.0
155,212423,-120.0,121.0,0.0
156,213054,-77.875,78.875,0.0
157,213872,-101.25,102.25,0.0
158,214501,-77.625,78.625,0.0
159,215226,-89.625,90.625,0.0
