run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,555,True,0.003,-120.15625,-86.6875,0.9375,-141.8071875,1173505,1000,8000,-186.79843234050983,False
reward_only,gpomdp_reward_only,556,True,0.003,-81.625,-84.0,1.0,-145.1203125,1151074,1000,8000,-248.59039183188918,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,556,True,0.003,-500.0,-500.0,0.0,-499.580796875,3997280,1000,8000,-499.58199784056285,True
reward_only,gpomdp_reward_only,557,True,0.003,-500.0,-492.625,0.0,-500.0,3999768,1000,8000,-500.0,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,557,True,0.003,-93.96875,-154.40625,1.0,-187.010328125,1502155,1000,8000,-306.1197225090786,False
reward_only,gpomdp_reward_only,558,True,0.003,-86.78125,-90.8125,1.0,-113.5265625,928807,1000,8000,-152.91583849295387,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,558,True,0.003,-87.65625,-79.9375,1.0,-169.683921875,1402076,1000,8000,-272.071629732001,False
reward_only,gpomdp_reward_only,559,True,0.003,-83.5,-88.375,1.0,-117.5203125,956774,1000,8000,-170.55234966342627,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,559,True,0.003,-91.53125,-92.28125,1.0,-163.6784375,1292796,1000,8000,-257.1830090676526,False
reward_only,gpomdp_reward_only,560,True,0.003,-500.0,-500.0,0.0,-500.0,4000000,1000,8000,-500.0,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,560,True,0.003,-107.15625,-81.90625,1.0,-231.672046875,1881571,1000,8000,-372.40831864204165,False
