initialization,metric,left_switch,right_switch,full_ranges_overlap,central_5_95_ranges_overlap,left_min,left_max,right_min,right_max,left_p05,left_p95,right_p05,right_p95
uniform,f0_logdet,500,1500,False,False,-3.569901806482453,-3.48396951345613,-3.967438117313047,-3.8390242441086255,-3.550942593610758,-3.4944711040313914,-3.938387879347634,-3.854782318303546
uniform,f0_condition,500,1500,False,False,5.156111937962831,5.290076089092765,6.709485884285508,6.826558233350209,5.1786282702918625,5.2604865340214895,6.731534247138506,6.805680416434303
uniform,f0_eigenvalue_1,500,1500,False,False,0.38401113183624774,0.3987635084625709,0.3575711610326926,0.3818874971223791,0.387975298079117,0.39628579636288597,0.36249523055229077,0.37911573635222007
uniform,f0_eigenvalue_2,500,1500,False,False,0.07315050429894655,0.0769512815110309,0.052917708996674834,0.05633749271892945,0.0738748788150351,0.07656452453929141,0.05373751986243498,0.05587076217250589
uniform,f1_lambda_min,500,1500,False,False,0.06023778932747979,0.06642859609289259,0.04338090733303042,0.04545681857050924,0.06183392935954948,0.06538932151549329,0.043770185420271,0.04504588535438358
uniform,f1_lambda_max,500,1500,False,False,0.26947922891933884,0.28851330442482687,0.2394661418700425,0.24952270851837563,0.27494759056327855,0.28548750991932137,0.24073385076576445,0.24845176102377384
uniform,f1_trace,500,1500,False,False,0.32971701824681865,0.35494190051771946,0.2828470492030729,0.29497952708888486,0.336781519922828,0.35086510366438034,0.2845102429856115,0.2937196007688467
uniform,f1_logdet,500,1500,False,False,-4.1207193581737265,-3.9546417293993077,-4.567079100059752,-4.479197797884062,-4.074478020282854,-3.9811957574399064,-4.552902364324691,-4.490063502237104
uniform,f1_condition,500,1500,False,False,4.343209421758288,4.473590945616019,5.4807212649041,5.55504981953136,4.360364069235086,4.449737241378504,5.491706274614896,5.540333248269746
uniform,f1_eigenvalue_1,500,1500,False,False,0.26947922891933884,0.28851330442482687,0.2394661418700425,0.24952270851837563,0.27494759056327855,0.28548750991932137,0.24073385076576445,0.24845176102377384
