initialization,switch_time,continuation,update,metric,mean,ci_lower,ci_upper
uniform,500,sampled,2740,population_return,0.9808367013484269,0.9808085993004154,0.9808648033964384
uniform,500,sampled,2750,population_return,0.980928513369047,0.9809006689259766,0.9809563578121173
uniform,500,sampled,2760,population_return,0.9810182958578412,0.9809904408789597,0.9810461508367226
uniform,500,sampled,2770,population_return,0.9811090880161918,0.9810812708543099,0.9811369051780737
uniform,500,sampled,2780,population_return,0.9811980823654091,0.9811707245076196,0.9812254402231986
uniform,500,sampled,2790,population_return,0.9812878349599304,0.9812607070260163,0.9813149628938446
uniform,500,sampled,2800,population_return,0.9813763280691356,0.9813492366478722,0.9814034194903989
uniform,500,sampled,2810,population_return,0.9814644361993214,0.9814375106843078,0.981491361714335
uniform,500,sampled,2820,population_return,0.9815515188507237,0.9815250234801223,0.9815780142213251
uniform,500,sampled,2830,population_return,0.9816380218904314,0.981611543033196,0.9816645007476668
uniform,500,sampled,2840,population_return,0.9817228805615295,0.9816967781670244,0.9817489829560345
uniform,500,sampled,2850,population_return,0.981806367304835,0.9817802639957062,0.9818324706139637
uniform,500,sampled,2860,population_return,0.9818902472327814,0.9818641817332173,0.9819163127323455
uniform,500,sampled,2870,population_return,0.9819709502780687,0.9819450178099184,0.981996882746219
uniform,500,sampled,2880,population_return,0.9820505668274118,0.9820244309045086,0.9820767027503149
uniform,500,sampled,2890,population_return,0.9821314365796888,0.9821057855520382,0.9821570876073394
uniform,500,sampled,2900,population_return,0.9822112264801787,0.9821855495317684,0.9822369034285889
uniform,500,sampled,2910,population_return,0.9822911797857161,0.9822652129364544,0.9823171466349778
uniform,500,sampled,2920,population_return,0.9823696312994906,0.9823439404868934,0.9823953221120878
uniform,500,sampled,2930,population_return,0.98244826609085,0.9824225621200321,0.9824739700616679
uniform,500,sampled,2940,population_return,0.9825260368463081,0.9825008663348982,0.9825512073577181
uniform,500,sampled,2950,population_return,0.9826033015086658,0.9825783322185716,0.98262827079876
uniform,500,sampled,2960,population_return,0.9826796660070457,0.9826548303200252,0.9827045016940662
uniform,500,sampled,2970,population_return,0.9827552069797058,0.9827305922164534,0.9827798217429581
uniform,500,sampled,2980,population_return,0.9828306143094305,0.982806468479455,0.9828547601394061
