beta,applied_fisher_gradient_norm,applied_fisher_to_reward_ratio,effective_fisher_beta,elapsed_seconds,fisher_components_90,fisher_effective_rank,fisher_full_condition_number,fisher_gradient_clip_ratio,fisher_gradient_clip_scale,fisher_gradient_was_clipped,fisher_log10_full_condition_number,fisher_log10_positive_condition_number,fisher_logdet_margin,fisher_loss,fisher_maximum_eigenvalue,fisher_minimum_eigenvalue,fisher_numerical_rank,fisher_parameter_count,fisher_positive_condition_number,fisher_rank,fisher_surrogate,fisher_trace,fisher_trajectory_count,mean_batch_return,mean_episode_length,nominal_fisher_beta,nominal_fisher_gradient_norm,return_std,reward_fisher_gradient_cosine,reward_gradient_norm,reward_loss,reward_trajectory_count,separate_fisher_batch,total_gradient_norm,total_loss,update
2e-06,16.508628845214844,0.06382825647795953,2e-06,2.3443129590013996,2,1.9949375163726213,1886083444819901.8,0.2,1.0,False,15.275560903047731,14.398671294028775,-233.94967166086983,0.0038227248979452295,272.29464536555975,1.4437041272665464e-13,15,16,250421316306788.03,16,-1911.3624489726149,471.1496603045807,256,10.529807297265949,88.9375,2e-06,16.508628845214844,48.70365666588613,-0.13858069479465485,258.6413879394531,-102.64070129394531,32,True,256.87445068359375,-102.63687856904737,21
2e-06,10.911493301391602,0.11240609942396827,2e-06,2.365345651982352,2,1.9921957755172857,2557342917944843.0,0.2,1.0,False,15.407788967129111,14.280264301655599,-235.15425396207553,0.0038382642216474145,266.9037665119182,1.0436760930224017e-13,14,16,190662069056068.44,16,-1919.1321108237073,457.47856141633963,256,13.072870431681661,90.5625,2e-06,10.911493301391602,48.791498015873174,-0.18211527168750763,97.07207489013672,36.766136169433594,32,True,95.68832397460938,36.76997443365524,22
2e-06,12.962965965270996,0.05981450563880328,2e-06,2.4041138920001686,2,2.0009354745291374,1715256168569295.5,0.2,1.0,False,15.234328989852866,14.28248908324954,-237.37577624895397,0.003183204689618719,247.3631712322148,1.4421354417197157e-13,14,16,191641288974422.53,16,-1591.6023448093597,434.79972791072277,256,12.855180718745434,92.21875,2e-06,12.962965965270996,48.255214667568815,0.01026649959385395,216.7194366455078,108.22528839111328,32,True,217.2395782470703,108.2284715958029,23
2e-06,13.986675262451172,0.07584787525089737,2e-06,2.613678263965994,2,1.9736654028753566,2553099700105680.0,0.2,1.0,False,15.407067774600685,14.432517818512656,-239.20974746290494,0.0030671048469980314,288.84905054404726,1.1313661214722284e-13,14,16,270718427373618.44,16,-1533.5524234990157,473.46400944651253,256,9.39129148419242,93.34375,2e-06,13.986675262451172,47.435487773729,-0.15112876892089844,184.40431213378906,-77.12274169921875,32,True,182.8140869140625,-77.11967459437176,24
2e-06,10.453423500061035,0.19999998905230312,9.200716065758052e-07,2.33692794397939,2,2.004239864735128,1914941585079091.5,0.2,0.4600358032879026,True,15.282155530437931,14.164941511086447,-240.70954763707545,0.0014104809388685027,258.6113628437225,1.3504921761518968e-13,13,16,146198026798111.78,16,-1533.0121359986697,455.08353096982984,256,15.747266094895021,91.125,2e-06,22.723066329956055,49.98473092753288,0.016703372821211815,52.267120361328125,19.3599853515625,32,True,53.4731559753418,19.36139583250137,25
2e-06,13.035391807556152,0.2000000087792469,5.830838186820101e-07,2.3063456669915468,2,1.991459329133459,2032226742065956.5,0.2,0.29154190934100505,True,15.307972161945736,14.399380819301859,-243.19688548779519,0.0010847951856364805,245.07524419032586,1.2059443915258343e-13,14,16,250830774591884.03,16,-1860.4446751558426,419.1958259808235,256,-0.9134253171792439,94.8125,2e-06,44.71189498901367,41.64237769661993,-0.03708432614803314,65.17695617675781,-10.463027954101562,32,True,65.99198913574219,-10.461943158915926,26
2e-06,17.606515884399414,0.1438072412451597,2e-06,2.226586433011107,2,2.016069893552585,2008586027502200.2,0.2,1.0,False,15.302890437247374,14.307705769206322,-244.10516108986025,0.004688401367132308,235.66870217108357,1.1733064899597655e-13,14,16,203098057277464.97,16,-2344.200683566154,439.63964700697454,256,5.546554133490593,96.03125,2e-06,17.606515884399414,44.75593276366117,0.17537717521190643,122.43135833740234,-38.13385009765625,32,True,126.7103271484375,-38.12916169628912,27
2e-06,23.334205627441406,0.19999998692152773,8.819199079112262e-07,2.4621027569519356,2,2.0065479451477755,1932447186509684.0,0.2,0.4409599539556131,True,15.286107633549825,14.27288162984632,-244.39783111206955,0.0014823181934231495,228.80214881045868,1.184002079889763e-13,14,16,187448353416857.88,16,-1680.7855000506001,409.95883158069864,256,-1.5872319308371923,94.8125,2e-06,52.916839599609375,41.17715963522295,-0.03502486273646355,116.67103576660156,9.822952270507812,32,True,118.17745208740234,9.824434588701235,28
2e-06,8.885467529296875,0.2,2.592332866085306e-07,2.5348896810319275,2,2.010280977425947,2222248921828550.8,0.2,0.12961664330426528,True,15.346792704164574,14.1571202756174,-245.7876208083129,0.0005511816380025423,231.72184140811223,1.042735758051095e-13,13,16,143588703980536.4,16,-2126.1993211345743,418.2523672992363,256,1.6109773670688539,95.65625,2e-06,68.5519027709961,43.068212949572526,0.0006755096255801618,44.427337646484375,0.404083251953125,32,True,45.31306076049805,0.40463443359112755,29
2e-06,25.597387313842773,0.1833931151427111,2e-06,2.6410283209988847,2,1.9697603991036134,2432977449642140.5,0.2,1.0,False,15.38613808363638,14.213716283800748,-245.96514439497187,0.003955990240723666,266.1587081556844,1.093962906211206e-13,13,16,163574757000027.06,16,-1977.9951203618332,433.025703527048,256,-0.9910036616637408,95.71875,2e-06,25.597387313842773,40.66188477035131,0.26573777198791504,139.57659912109375,-4.919586181640625,32,True,148.4442901611328,-4.915630191399901,30
