method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
sampled_pg_reward_only,adverse,32,91003,True,0,0.4434100571756673,0.014006537006670676,0.015861295377266427,False,,0.66
sampled_pg_logbarrier_handoff,adverse,32,91000,True,0,0.42219647601154847,0.023712619091731463,0.01607730153833186,False,,0.46
sampled_pg_logbarrier_handoff,adverse,32,91001,True,0,0.4225881095370284,0.023535210498976358,0.016070627040369063,False,,0.52
sampled_pg_logbarrier_handoff,adverse,32,91002,True,0,0.4222900791896408,0.023663144240619098,0.01602037562922717,False,,0.54
sampled_pg_logbarrier_handoff,adverse,32,91003,True,0,0.4226833040160193,0.023511822964290212,0.016100584022316903,False,,0.52
sampled_npg_reward_only,adverse,32,91000,False,1,0.4890341395316463,0.0015246634697285246,0.015165382757703958,False,,0.8
sampled_npg_reward_only,adverse,32,91001,False,1,0.4999922760304793,5.926448044863759e-07,0.015876239976466762,False,,0.9166666666666666
sampled_npg_reward_only,adverse,32,91002,False,1,0.5,4.419834164392489e-31,0.013542176447259299,False,,0.5833333333333334
sampled_npg_reward_only,adverse,32,91003,False,1,0.5,0.0,0.01535702759011798,False,,0.8
sampled_npg_logbarrier_handoff,adverse,32,91000,True,0,0.9095986970474889,0.8393507408984752,0.9943630071683703,False,19,0.04
sampled_npg_logbarrier_handoff,adverse,32,91001,True,0,0.9203524015434126,0.8534545635923204,0.995375248030713,False,18,0.04
sampled_npg_logbarrier_handoff,adverse,32,91002,True,0,0.9172933921427966,0.8536509763159899,0.9947615787744033,False,19,0.02
sampled_npg_logbarrier_handoff,adverse,32,91003,True,0,0.9034530048370437,0.8247723644471557,0.9923981617929885,False,22,0.02
sampled_pg_logbarrier_fixed,adverse,32,91000,True,0,0.39663332028205917,0.03831893856376459,0.016392925491922644,False,,0.34
sampled_pg_logbarrier_fixed,adverse,32,91001,True,0,0.3968376546822757,0.038253561939384124,0.016403314768494617,False,,0.4
sampled_pg_logbarrier_fixed,adverse,32,91002,True,0,0.3967316766754836,0.03821038282815258,0.01625194687451503,False,,0.5
sampled_pg_logbarrier_fixed,adverse,32,91003,True,0,0.39714880536953245,0.038062386555691996,0.016368894331589962,False,,0.48
sampled_npg_logbarrier_fixed,adverse,32,91000,True,0,0.6273200431689563,0.6183229864917384,0.7839379834798166,False,19,0.04
sampled_npg_logbarrier_fixed,adverse,32,91001,True,0,0.6328370539631292,0.6386264452588158,0.7802994752175119,False,18,0.04
sampled_npg_logbarrier_fixed,adverse,32,91002,True,0,0.589952875664621,0.5661888178473118,0.7526130798658296,False,19,0.02
sampled_npg_logbarrier_fixed,adverse,32,91003,True,0,0.5909950771583805,0.5630375920829201,0.7478458076373191,False,22,0.02
