scaling,horizon,handoff_update,initialization,n_trajectories,method,optimizer,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,final_q_median,final_pi1_good_median,completed_horizon_rate,last_update_median,last_update_min,collapsed_run_count,collapse_update_median,collapse_at_handoff,fisher_rank_deficient_rate,fisher_min_eigenvalue_p50,step_norm_bound,step_norm_p50,step_norm_p99,step_norm_max,step_over_bound_rate,nonfinite_step_count,target_kl,realized_kl_p50,realized_kl_p99,realized_kl_max
damped,1000,500,adverse,32,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4522,0.4522,0.0436,0.0674,1.0,1000,1000,0,,False,0.455,6.114e-05,,,,,,,,,,
damped,1000,500,adverse,32,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3588,0.3583,0.3035,0.295,1.0,1000,1000,0,,False,0.24,1.189e-03,,,,,,,,,,
damped,1000,500,adverse,32,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.015,0.0,790,790,100,790,False,1.0,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,7.268e-82,4.430e-04,3.015e-03
damped,1000,500,adverse,32,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,1000,1000,0,,False,0.49,3.652e-04,0.4472,0.2709,0.4472,0.4472,0.0,0,0.001,6.779e-04,2.434e-03,4.728e-03
damped,1000,500,adverse,32,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.632,0.6328,0.6448,0.7777,1.0,1000,1000,0,,False,0.013,1.167e-02,0.4472,0.1307,0.3086,0.4047,0.0,0,0.001,9.652e-04,2.587e-03,4.728e-03
damped,1000,500,adverse,128,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.4833,0.4833,0.0038,0.0159,1.0,1000,1000,0,,False,0.936,0.000e+00,,,,,,,,,,
damped,1000,500,adverse,128,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4523,0.4523,0.0436,0.0691,1.0,1000,1000,0,,False,0.095,6.983e-04,,,,,,,,,,
damped,1000,500,adverse,128,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3603,0.3602,0.3048,0.3039,1.0,1000,1000,0,,False,0.065,8.268e-03,,,,,,,,,,
damped,1000,500,adverse,128,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.0145,0.0,800,790,100,800,False,1.0,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,1.189e-81,5.523e-04,2.338e-03
damped,1000,500,adverse,128,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,1000,1000,0,,False,0.472,6.789e-03,0.4472,0.2097,0.4472,0.4472,0.0,0,0.001,7.622e-04,1.309e-03,1.998e-03
damped,1000,500,adverse,128,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6203,0.6192,0.624,0.7659,1.0,1000,1000,0,,False,0.001,1.533e-02,0.4472,0.1241,0.2372,0.3111,0.0,0,0.001,9.292e-04,1.363e-03,2.027e-03
damped,1000,500,uniform,4,sampled_pg_reward_only,pg,100,0.99,0.946,0.998,0.9219,0.9248,0.947,0.9611,1.0,1000,1000,0,,False,0.82,0.000e+00,,,,,,,,,,
damped,1000,500,uniform,4,sampled_pg_logbarrier_handoff,pg,100,1.0,0.963,1.0,0.8954,0.8962,0.9241,0.946,1.0,1000,1000,0,,False,0.763,3.418e-20,,,,,,,,,,
damped,1000,500,uniform,4,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.5961,0.5972,0.6004,0.7577,1.0,1000,1000,0,,False,0.683,5.218e-19,,,,,,,,,,
damped,1000,500,uniform,4,sampled_npg_reward_only,npg,100,0.37,0.282,0.468,0.6479,0.5,0.338,0.6086,0.37,830,10,44,820,False,0.993,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,3.577e-71,2.359e-03,5.196e-03
damped,1000,500,uniform,4,sampled_npg_logbarrier_handoff,npg,100,0.91,0.838,0.952,0.945,1.0,1.0,1.0,0.95,1000,1000,0,,False,0.879,0.000e+00,0.4472,0.3642,0.4472,0.4472,0.0,0,0.001,5.514e-04,4.511e-03,2.448e-02
damped,1000,500,uniform,4,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6748,0.6884,0.7648,0.8055,0.95,1000,1000,0,,False,0.756,1.358e-19,0.4472,0.2176,0.3837,0.4471,0.0,0,0.001,1.910e-03,4.794e-03,2.448e-02
damped,1000,500,uniform,32,sampled_pg_reward_only,pg,100,1.0,0.963,1.0,0.9245,0.9247,0.9469,0.961,1.0,1000,1000,0,,False,0.095,7.535e-03,,,,,,,,,,
damped,1000,500,uniform,32,sampled_pg_logbarrier_handoff,pg,100,1.0,0.963,1.0,0.8942,0.8942,0.9227,0.9452,1.0,1000,1000,0,,False,0.036,1.368e-02,,,,,,,,,,
damped,1000,500,uniform,32,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.5921,0.5915,0.5946,0.7493,1.0,1000,1000,0,,False,0.003,1.805e-02,,,,,,,,,,
damped,1000,500,uniform,32,sampled_npg_reward_only,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,1000,1000,0,,False,0.976,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,4.099e-67,1.235e-03,3.854e-03
damped,1000,500,uniform,32,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,1000,1000,0,,False,0.486,1.495e-03,0.4472,0.2685,0.4472,0.4472,0.0,0,0.001,6.819e-04,2.430e-03,3.496e-03
damped,1000,500,uniform,32,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.632,0.6328,0.6448,0.7777,1.0,1000,1000,0,,False,0.009,1.186e-02,0.4472,0.1302,0.3062,0.3909,0.0,0,0.001,9.638e-04,2.587e-03,3.075e-03
