beta,seed,update,mean_batch_return,numerical_rank,effective_rank,components_90,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,log10_positive_condition_number,full_condition_number,log10_full_condition_number,trace,logdet_margin
2e-06,101,86,35.64396441178985,16,2.3087302121456994,2,5.825544160720817e-11,169.10392837257294,2902800557461.5547,12.462817197812582,2902800557461.5547,12.462817197812582,320.74536694314077,-141.31931931283208
2e-06,101,87,33.78859826055542,16,2.32565226223495,2,3.247505899814934e-11,159.3563785466749,4907038923493.754,12.690819502894612,4907038923493.754,12.690819502894612,299.2188335992196,-141.34110178304016
2e-06,101,88,33.18379036823335,16,2.333817510748322,2,1.61798994828068e-11,156.8211953821879,9692346701463.156,12.98642894073572,9692346701463.156,12.98642894073572,321.28658566683276,-139.49323448645515
2e-06,101,89,37.79147131294876,16,2.297296955101282,2,1.9578380441626466e-11,166.09269984576542,8483474940175.764,12.928573781291856,8483474940175.764,12.928573781291856,316.62932584246704,-136.89966220129776
2e-06,101,90,52.25265105115767,16,2.3735474088971134,2,2.4285064849567524e-11,150.08148143203192,6179990968181.607,12.790987840384648,6179990968181.607,12.790987840384648,308.54969981057,-135.86585181200434
2e-06,101,91,58.59806414933351,16,2.3625497013740158,2,4.290974237969984e-11,158.71240408324834,3698749870806.345,12.568054962999215,3698749870806.345,12.568054962999215,304.4596936863254,-134.09080884810305
2e-06,101,92,55.47934219002261,16,2.378794531085975,2,7.010766656756919e-11,154.29929142683528,2200890415859.4824,12.3425984192129,2200890415859.4824,12.3425984192129,305.27582750800013,-131.46389008949365
2e-06,101,93,41.36949202273861,16,2.3742277414741375,2,7.109070080753385e-11,177.99407890950621,2503760363699.26,12.398592759960378,2503760363699.26,12.398592759960378,348.7206334539874,-130.83729947005452
2e-06,101,94,71.2986702141512,16,2.3218741035662736,2,1.297177073915202e-10,165.3364770471414,1274586795988.5764,12.105369415117483,1274586795988.5764,12.105369415117483,315.95027175407154,-129.40600750242444
2e-06,101,95,58.45010133475208,16,2.3122545188015224,2,1.4655782528712684e-10,191.1447253502147,1304227358557.8665,12.11535330608927,1304227358557.8665,12.11535330608927,382.2921621134801,-127.2332863923192
2e-06,101,96,71.57783900042782,16,2.3061371270241047,2,1.7707402820237016e-10,196.384526586687,1109053250667.8376,12.044952399094145,1109053250667.8376,12.044952399094145,339.0564029818652,-126.48144445549704
2e-06,101,97,63.65829848122284,16,2.396547817847698,2,2.5545707021619166e-10,160.53222880757252,628411766688.2938,11.798244308385684,628411766688.2938,11.798244308385684,319.6156696233151,-124.39112019537856
