seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
102,log_barrier,0.003,40.0,0.97,8,True,True,0.05,200,32,335674,-17.014667299751146,10.466427464322258,-290.6024852041485,0.19171703606843948
102,log_barrier,0.003,40.0,0.97,8,True,True,0.1,200,32,258683,-24.159739898237284,-31.29177415623253,-308.1152613075521,0.205522820353508
102,log_barrier,0.003,40.0,0.97,8,True,True,0.25,200,32,267998,-41.69463711699188,-32.502398994675886,-325.98507178262065,0.22141551971435547
102,log_barrier,0.003,100.0,0.97,8,True,True,0.1,200,32,254192,-49.43547451051763,-21.606667290933835,-331.44442077523945,0.20908388793468474
102,log_barrier,0.003,100.0,0.97,8,True,True,0.25,200,32,257880,-54.90074147272831,-53.49688771542242,-359.4364132711595,0.22998992428183557
102,log_barrier,0.003,100.0,0.97,8,True,True,0.5,200,32,178467,-113.02391867942622,-59.15039600765945,-1003.8777351527265,0.2292581632733345
102,log_barrier,0.003,200.0,0.97,8,True,True,0.1,200,32,213014,-57.861695655259595,-41.94468854853331,-763.912977257469,0.2126876264810562
102,log_barrier,0.003,200.0,0.97,8,True,True,0.25,200,32,190420,-43.702951421008336,-26.665317092120993,-2736.0664973372513,0.23565396293997765
102,log_barrier,0.003,200.0,0.97,8,True,True,0.5,200,32,159627,-95.50538508361451,-86.48115454380101,-716.38175477948,0.2395589031279087
102,log_barrier,0.003,400.0,0.97,8,True,True,0.1,200,32,201919,-55.55544963673342,-85.05308911681192,-1162.7730869479292,0.21455840170383453
102,log_barrier,0.003,400.0,0.97,8,True,True,0.25,200,32,166521,-104.48835060622802,-106.37463019863057,-645.3395039688961,0.2421199709177017
102,log_barrier,0.003,400.0,0.97,8,True,True,0.5,200,32,155163,-121.40418347116005,-105.01733046113779,-1086.820301558663,0.24518234878778458
102,log_barrier,0.003,800.0,0.97,8,True,True,0.1,200,32,160151,-105.53334937150308,-100.96077846731703,-1130.9311064703747,0.21476388350129128
102,log_barrier,0.003,800.0,0.97,8,True,True,0.25,200,32,153164,-115.34354175395995,-102.1307176774672,-978.835479785783,0.2437426321208477
102,log_barrier,0.003,800.0,0.97,8,True,True,0.5,200,32,150706,-119.30977401773721,-118.22141976674956,-1572.0829187038512,0.24665795788168907
