environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,27,13824,fixed_reference,analysis-fixed_reference-102-27,False,130,38,2,76,76,20,1.0512594682246406e-10,1.1728551580625701,1.0512594682246406,2.246683359018173e-10,2,1.2290393882976678,1.4138886272129627,-276.44300817861944,4679161680.72769,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,30,15360,on_policy,analysis-on_policy-102-30,False,130,64,2,128,128,28,1e-10,1.1379011451093428,0.995047083559683,1.0450467254243331e-10,2,1.28462974453127,1.5143788394690427,-408.91599609763284,9521555920.436493,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,30,15360,fixed_reference,analysis-fixed_reference-102-30,False,130,38,2,76,76,20,1.0806329095706746e-10,1.2204955379939815,1.0806329095706746,3.104132997860787e-10,2,1.2556654905451807,1.450466936231892,-271.92819047561466,3481271293.193277,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,0,0,on_policy,analysis-on_policy-101-0,False,130,64,2,128,128,22,1e-10,1.0061368164713904,0.9075337001471794,1.5880203344427756e-10,1,1.215209377417942,1.3912497880135195,-320.6829045233742,5714874554.585765,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,0,0,fixed_reference,analysis-fixed_reference-101-0,False,130,38,2,76,76,19,1e-10,1.0428510706314382,0.9453990194390053,2.0388756369722808e-10,1,1.2042539485214323,1.372366546232379,-276.53143870461207,4636864565.427432,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,3,1536,on_policy,analysis-on_policy-101-3,False,130,64,2,128,128,24,1e-10,0.9849291496729724,0.9018996955660826,1.1477651752104656e-10,1,1.1828687019451947,1.3462716091551956,-363.3720527411823,7857876463.281797,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,3,1536,fixed_reference,analysis-fixed_reference-101-3,False,130,38,2,76,76,19,1e-10,1.0691431559253703,0.9716617738582297,1.7401589759174817e-10,1,1.1988574412136543,1.364049057862158,-278.90151592213596,5583752905.943151,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,6,3072,on_policy,analysis-on_policy-101-6,False,130,64,2,128,128,25,1e-10,1.027670750901271,0.8895400289179866,1.9319292800507353e-10,2,1.3042827582110494,1.505057618098108,-369.9720512599911,4604412998.46455,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,6,3072,fixed_reference,analysis-fixed_reference-101-6,False,130,38,2,76,76,18,1e-10,1.0963917681182023,0.9985604787394464,2.336858083402381e-10,1,1.194266947603624,1.3574294419472626,-256.86101122226586,4273089948.5585294,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,9,4608,on_policy,analysis-on_policy-101-9,False,130,64,2,128,128,22,1e-10,1.0492008280173923,0.9423467296218099,1.0115520291296475e-10,2,1.2242332790436092,1.3995867757324214,-325.4626048738603,9315850321.931707,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,9,4608,fixed_reference,analysis-fixed_reference-101-9,False,130,38,2,76,76,18,1.0314865187158229e-10,1.1302270960665333,1.0314865187158229,1.974927757733482e-10,1,1.1899015604156362,1.3517228963102883,-254.88811582909517,5222907595.868743,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,12,6144,on_policy,analysis-on_policy-101-12,False,130,64,2,128,128,21,1e-10,1.0302662287816822,0.9364877130218247,1.6809004691462474e-10,1,1.198655821863329,1.368207064015189,-309.2315156849882,5571345419.97885,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,12,6144,fixed_reference,analysis-fixed_reference-101-12,False,130,38,2,76,76,18,1.0653696630664592e-10,1.1657617376675908,1.065369663066459,2.331834181923657e-10,1,1.1870160005821573,1.3485445427795417,-251.34272097047796,4568805412.173766,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,15,7680,on_policy,analysis-on_policy-101-15,False,130,64,2,128,128,24,1e-10,1.0976658965661397,0.9970990767499683,1.2079945227196624e-10,1,1.200322343298857,1.3770947195228893,-356.3429338747747,8254168855.874554,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,15,7680,fixed_reference,analysis-fixed_reference-101-15,False,130,38,2,76,76,20,1.096980493655032e-10,1.200166882926143,1.096980493655032,1.1202911111912281e-10,1,1.186732061544847,1.3493381841532044,-292.85530905206804,9791923569.656734,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,18,9216,on_policy,analysis-on_policy-101-18,False,130,64,2,128,128,22,1.0471418622185871e-10,1.091083618208197,1.047141862218587,1.57433063009779e-10,1,1.0839299622312657,1.193874376015804,-324.56437780553216,6651346560.878026,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,18,9216,fixed_reference,analysis-fixed_reference-101-18,False,130,38,2,76,76,20,1.1282994993741505e-10,1.2351812214570732,1.1282994993741504,1.38988244304224e-10,1,1.1880836359745424,1.3526126769017803,-288.5523193708376,8117949147.587442,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,21,10752,on_policy,analysis-on_policy-101-21,False,130,64,2,128,128,23,1.0081354968556132e-10,1.0694273981517817,1.008135496855613,1.0389009213509231e-10,1,1.1218928011090517,1.2723091608659252,-334.4444391320469,9703865653.951826,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,21,10752,fixed_reference,analysis-fixed_reference-101-21,False,130,38,2,76,76,20,1.1575945736491205e-10,1.2696666318257823,1.1575945736491204,1.7045202409931828e-10,1,1.1922229704018734,1.3599466182168989,-284.57925518197396,6791321955.640832,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,24,12288,on_policy,analysis-on_policy-101-24,False,130,64,2,128,128,27,1e-10,1.154694722391645,0.9908313499508842,1.1627463627885298e-10,2,1.323726308831166,1.5354644558145738,-400.7711522735329,8521474516.373852,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,24,12288,fixed_reference,analysis-fixed_reference-101-24,False,130,38,2,76,76,20,1.1827045070738179e-10,1.3022902846378044,1.1827045070738178,2.1133920101745495e-10,1,1.2006872835739348,1.3734826829628253,-280.67178448001175,5596238186.66815,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,27,13824,on_policy,analysis-on_policy-101-27,False,130,64,2,128,128,25,1.0260911871654207e-10,1.2217570322056903,1.0260911871654206,1.6027856348519023e-10,2,1.3704984978300625,1.5902122632157212,-353.3566303436435,6401924030.59709,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,27,13824,fixed_reference,analysis-fixed_reference-101-27,False,130,38,2,76,76,21,1.2022691989166096e-10,1.3319678928104848,1.2022691989166097,1.437492051548435e-10,1,1.2139536121263015,1.393597103168984,-299.55997148320523,8363658064.2066965,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,30,15360,on_policy,analysis-on_policy-101-30,False,130,64,2,128,128,28,1.0645513426059224e-10,1.2051078955541796,1.0645513426059223,1.169389762357846e-10,2,1.2622748501312429,1.4830551991468701,-420.128844476787,9103477530.532358,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,30,15360,fixed_reference,analysis-fixed_reference-101-30,False,130,38,2,76,76,22,1.2243989474306262e-10,1.366966688305099,1.2243989474306263,1.539054777273538e-10,2,1.2306973487812545,1.4185555022220864,-317.85760438152056,7955525466.089453,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,0,0,on_policy,analysis-on_policy-102-0,False,130,64,2,128,128,23,1e-10,0.8592415775471155,0.812061472303148,1.4600482150579204e-10,1,1.1165499002430501,1.2650013819731583,-334.76628677054833,5561881203.155563,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,0,0,fixed_reference,analysis-fixed_reference-102-0,False,130,38,2,76,76,18,1e-10,0.9020931965707402,0.8549497357370487,1.6474964545920916e-10,1,1.1100489677886782,1.233534358466688,-255.60044360123632,5189387408.719664,float64,False,score_gram
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,3,1536,on_policy,analysis-on_policy-102-3,False,130,64,2,128,128,25,1e-10,0.8995037023017853,0.8150154756050207,1.5521984103892201e-10,1,1.2058063079373995,1.3847136340335313,-377.10331148668325,5250717112.90216,float64,False,score_gram
