seed,learning_rate,beta,checkpoint_update,batch_update,reward_trajectory_count,fisher_trajectory_count,reward_gradient_norm,status,fisher_surrogate_gradient_norm,barrier_gradient_norm,total_gradient_norm,barrier_to_reward_ratio,reward_barrier_cosine,domain_failure
104.0,0.02,0.0001,200.0,201.0,32.0,256.0,87.3013916015625,complete,460246.125,46.02461242675781,85.50550079345703,0.5271921753883362,-0.302215039730072,
104.0,0.02,0.0001,250.0,251.0,32.0,256.0,102.24520874023438,complete,163126.453125,16.312644958496094,105.94937896728516,0.15954434871673584,0.1514149159193039,
105.0,0.02,0.0001,50.0,51.0,32.0,256.0,173.62274169921875,complete,130800344.0,13080.033203125,13060.6171875,75.33594512939453,-0.11838383972644806,
105.0,0.02,0.0001,100.0,101.0,32.0,256.0,73.80205535888672,complete,14950812.0,1495.081298828125,1513.2674560546875,20.25798988342285,0.22323600947856903,
105.0,0.02,0.0001,150.0,151.0,32.0,256.0,235.37918090820312,complete,11109910.0,1110.990966796875,1056.7908935546875,4.720005035400391,-0.33058270812034607,
105.0,0.02,0.0001,200.0,201.0,32.0,256.0,152.6081085205078,complete,9215724.0,921.5723876953125,878.6639404296875,6.038816452026367,-0.35741952061653137,
105.0,0.02,0.0001,250.0,251.0,32.0,256.0,31.49697494506836,complete,11174687.0,1117.4686279296875,1128.693115234375,35.47860336303711,0.34406280517578125,
101.0,0.02,1e-05,50.0,51.0,32.0,256.0,152.05137634277344,complete,675905.8125,6.759058952331543,151.55084228515625,0.044452469795942307,-0.0961591824889183,
101.0,0.02,1e-05,100.0,101.0,32.0,256.0,194.83409118652344,complete,135383.796875,1.3538379669189453,194.9465789794922,0.0069486708380281925,0.079639732837677,
101.0,0.02,1e-05,150.0,151.0,32.0,256.0,209.15020751953125,complete,1027.6590576171875,0.01027659047394991,209.14613342285156,4.913497468805872e-05,-0.395917683839798,
101.0,0.02,1e-05,200.0,201.0,32.0,256.0,22.58669090270996,complete,814.1134033203125,0.008141133934259415,22.59209632873535,0.00036043941508978605,0.6639310717582703,
101.0,0.02,1e-05,250.0,251.0,32.0,256.0,22.225234985351562,complete,899.6495361328125,0.008996495045721531,22.232791900634766,0.0004047873953823,0.8399590253829956,
102.0,0.02,1e-05,50.0,51.0,32.0,256.0,70.2936019897461,complete,620029.8125,6.200297832489014,71.06919860839844,0.0882057175040245,0.08167795091867447,
102.0,0.02,1e-05,100.0,101.0,32.0,256.0,144.8522186279297,complete,743329.875,7.433298110961914,145.60931396484375,0.05131642520427704,0.0764586552977562,
102.0,0.02,1e-05,150.0,151.0,32.0,256.0,116.21707153320312,complete,132099.34375,1.320993423461914,116.22457885742188,0.011366603896021843,3.86384681405616e-06,
102.0,0.02,1e-05,200.0,201.0,32.0,256.0,215.7872314453125,complete,381143.34375,3.8114330768585205,215.85000610351562,0.01766292192041874,0.0076426356099545956,
102.0,0.02,1e-05,250.0,251.0,32.0,256.0,20.872968673706055,complete,205164.453125,2.0516443252563477,21.301193237304688,0.09829192608594894,0.16171710193157196,
103.0,0.02,1e-05,50.0,51.0,32.0,256.0,91.76126098632812,complete,9212832.0,92.12831115722656,128.72080993652344,1.0040000677108765,-0.020032837986946106,
103.0,0.02,1e-05,100.0,101.0,32.0,256.0,499.64996337890625,complete,1623716.25,16.23716163635254,495.41412353515625,0.03249707445502281,-0.27601659297943115,
103.0,0.02,1e-05,150.0,151.0,32.0,256.0,20.348676681518555,complete,70086.203125,0.7008619904518127,20.324495315551758,0.034442633390426636,-0.05170673131942749,
103.0,0.02,1e-05,200.0,201.0,32.0,256.0,25.644481658935547,complete,438548.90625,4.385488986968994,25.723901748657227,0.17101101577281952,-0.06736734509468079,
103.0,0.02,1e-05,250.0,251.0,32.0,256.0,16.020668029785156,complete,527250.375,5.272503852844238,17.68949317932129,0.3291063606739044,0.16844698786735535,
104.0,0.02,1e-05,50.0,51.0,32.0,256.0,475.55126953125,complete,10333485.0,103.33484649658203,495.6641845703125,0.2172948569059372,0.09010715037584305,
104.0,0.02,1e-05,100.0,101.0,32.0,256.0,163.18812561035156,complete,6693447.5,66.93447875976562,181.797119140625,0.4101675748825073,0.08878590911626816,
104.0,0.02,1e-05,150.0,151.0,32.0,256.0,217.13360595703125,complete,4337559.0,43.37558364868164,218.2709197998047,0.19976449012756348,-0.0735936090350151,
104.0,0.02,1e-05,200.0,201.0,32.0,256.0,32.635501861572266,complete,29470.560546875,0.2947055995464325,32.636451721191406,0.009030215442180634,-0.0012934166006743908,
104.0,0.02,1e-05,250.0,251.0,32.0,256.0,29.03191375732422,complete,17076.83203125,0.17076832056045532,29.132030487060547,0.005882089491933584,0.5843461155891418,
105.0,0.02,1e-05,50.0,51.0,32.0,256.0,82.80364990234375,complete,17334466.0,173.3446502685547,204.6660919189453,2.09344220161438,0.17359426617622375,
105.0,0.02,1e-05,100.0,101.0,32.0,256.0,145.31967163085938,complete,250568.015625,2.5056803226470947,144.80905151367188,0.017242539674043655,-0.21204648911952972,
105.0,0.02,1e-05,150.0,151.0,32.0,256.0,388.8137512207031,complete,123404.484375,1.2340447902679443,388.5789489746094,0.003173871198669076,-0.19180740416049957,
105.0,0.02,1e-05,200.0,201.0,32.0,256.0,10.882124900817871,complete,8860.896484375,0.08860897272825241,10.875731468200684,0.008142616599798203,-0.07620083540678024,
105.0,0.02,1e-05,250.0,251.0,32.0,256.0,11.416464805603027,complete,7119.97900390625,0.07119978219270706,11.43532943725586,0.006236587651073933,0.26204994320869446,
101.0,0.02,0.0002,50.0,51.0,32.0,256.0,81.94186401367188,complete,17187190.0,3437.43798828125,3460.8623046875,41.9497184753418,0.27492037415504456,
101.0,0.02,0.0002,100.0,101.0,32.0,256.0,119.89264678955078,complete,372910.15625,74.58203125,150.7218017578125,0.6220734119415283,0.15546785295009613,
101.0,0.02,0.0002,150.0,151.0,32.0,256.0,43.73463821411133,complete,157283.34375,31.456668853759766,60.931121826171875,0.7192621231079102,0.29451698064804077,
101.0,0.02,0.0002,200.0,201.0,32.0,256.0,85.86542510986328,complete,30730.25,6.146049976348877,85.59442901611328,0.07157770544290543,-0.07981111109256744,
101.0,0.02,0.0002,250.0,251.0,32.0,256.0,137.6978302001953,complete,24023.43359375,4.804686546325684,138.8231964111328,0.0348929725587368,0.21773633360862732,
102.0,0.02,0.0002,50.0,51.0,32.0,256.0,99.5213851928711,complete,3656817.75,731.363525390625,740.7716674804688,7.3488078117370605,0.027103349566459656,
102.0,0.02,0.0002,100.0,101.0,32.0,256.0,83.87073516845703,complete,208232.0,41.64639663696289,95.19892883300781,0.49655455350875854,0.04210149124264717,
102.0,0.02,0.0002,150.0,151.0,32.0,256.0,204.8860321044922,complete,174709.140625,34.94182586669922,208.9639892578125,0.17054274678230286,0.032597169280052185,
102.0,0.02,0.0002,200.0,201.0,32.0,256.0,119.9181137084961,complete,40758.47265625,8.151694297790527,119.97323608398438,0.067977175116539,-0.02722478285431862,
102.0,0.02,0.0002,250.0,251.0,32.0,256.0,159.09677124023438,complete,100745.765625,20.149150848388672,159.77035522460938,0.12664714455604553,-0.029823388904333115,
