method,beta,seed,update,trajectory_count,parameter_count,numerical_rank,minimum_eigenvalue,minimum_eigenvalue_for_log,maximum_eigenvalue,smallest_singular_value,full_condition_number,log10_full_condition_number,effective_rank,components_90,mean_return,fisher_reconstruction_relative_error,eigenvalue_reconstruction_max_abs_error
beta_2e-6,2e-06,103,150,4096,16,16,1.8659415529813886e-08,1.8659415529813886e-08,962.4303340709885,1.865941547547094e-08,51578804027.176994,10.712471267805423,1.698129248446126,2,88.05082375873326,1.055252944959556e-15,4.547473508864641e-13
beta_2e-6,2e-06,103,200,4096,16,16,4.201361139435388e-08,4.201361139435388e-08,1332.2638226359993,4.201361132429525e-08,31710290561.61115,10.501200221488654,1.6114683747563392,2,90.31716062073487,1.7834303293422582e-15,1.1368683772161603e-12
beta_2e-6,2e-06,103,250,4096,16,16,4.64172314834821e-08,4.64172314834821e-08,1680.6078535471709,4.6417233475507226e-08,36206549329.01095,10.55878713628402,1.535559462389401,2,91.10177373737058,2.3293873457463352e-15,1.3642420526593924e-12
beta_2e-6,2e-06,104,50,4096,16,13,4.762435836878531e-15,4.467093272112449e-14,201.17999595714875,4.581731278845172e-15,4.390916527253345e+16,16.64255518110397,2.043651945608079,2,20.868211297952982,2.086207747919999e-15,4.547473508864641e-13
beta_2e-6,2e-06,104,100,4096,16,15,7.050638412360751e-15,3.628151253178288e-14,163.39740631857535,6.722117906133333e-15,2.4307429384642268e+16,16.38573903275962,2.078181250508572,2,31.089340809813365,3.701948103358575e-15,6.536993168992922e-13
beta_2e-6,2e-06,104,150,4096,16,16,5.6865640339478016e-12,5.6865640339478016e-12,301.402091257953,5.6868473347703894e-12,52999856249899.17,13.724274691677012,2.1628884248501796,2,73.44001209110645,1.5735473028984818e-15,1.1368683772161603e-13
beta_2e-6,2e-06,104,200,4096,16,16,2.9775331229810626e-10,2.9775331229810626e-10,597.7384718644914,2.977531446043843e-10,2007496755940.859,12.302654852143435,1.8155354373993167,2,87.5776888725907,1.3918713491393835e-15,2.385834585449942e-13
beta_2e-6,2e-06,104,250,4096,16,16,5.336678470157497e-10,5.336678470157497e-10,820.6834453468443,5.336682711399883e-10,1537815698868.0486,12.186904290107337,1.6889783653686787,2,89.3084152099528,2.3433799537934245e-15,3.6992631180510216e-13
beta_2e-6,2e-06,105,50,4096,16,12,-2.939800566546868e-15,5.090573592757714e-14,229.25905335445728,3.3462309833031844e-15,6.851262046714641e+16,16.835770578709827,2.0202409511285517,2,15.995067527028796,1.584878999634362e-15,4.263256414560601e-13
beta_2e-6,2e-06,105,100,4096,16,16,8.071331081310396e-12,8.071331081310396e-12,210.97424261853115,8.071419500165793e-12,26138431116632.918,13.417279516762624,2.1874454209263683,2,45.92611330911715,2.2990591910200607e-15,3.979039320256561e-13
