method,beta,seed,update,mean_batch_return,return_rolling_10
reward_only,,103,13,-10.158,-11.565420000000001
reward_only,,103,14,2.8641,-10.338150000000002
reward_only,,103,15,-6.5814,-9.44622
reward_only,,103,16,-3.3775,-8.54463
reward_only,,103,17,-9.9583,-7.9826999999999995
reward_only,,103,18,-6.8862,-7.50764
reward_only,,103,19,6.2756,-6.057390000000001
reward_only,,103,20,-6.512,-5.9261099999999995
reward_only,,103,21,-3.4994,-4.85713
reward_only,,103,22,-0.5852,-3.8418300000000003
reward_only,,103,23,15.8575,-1.24028
reward_only,,103,24,-4.2684,-1.95353
reward_only,,103,25,-0.5867,-1.35406
reward_only,,103,26,-7.5254,-1.76885
reward_only,,103,27,5.4967,-0.2233500000000001
reward_only,,103,28,-3.7526,0.09001
reward_only,,103,29,-7.3596,-1.2735100000000004
reward_only,,103,30,-10.2809,-1.6504
reward_only,,103,31,-7.2226,-2.0227200000000005
reward_only,,103,32,2.469,-1.7173000000000003
reward_only,,103,33,5.4033,-2.7627200000000003
reward_only,,103,34,5.5284,-1.7830400000000002
reward_only,,103,35,-4.6437,-2.18874
reward_only,,103,36,5.4895,-0.8872500000000005
reward_only,,103,37,-0.8132,-1.5182400000000007
reward_only,,103,38,-7.2896,-1.87194
reward_only,,103,39,-1.147,-1.2506800000000005
reward_only,,103,40,-7.2755,-0.9501400000000002
reward_only,,103,41,-6.917,-0.9195800000000002
reward_only,,103,42,-1.0309,-1.2695700000000003
reward_only,,103,43,9.0537,-0.9045300000000001
reward_only,,103,44,-0.9322,-1.5505900000000001
reward_only,,103,45,-0.7551,-1.16173
reward_only,,103,46,5.6628,-1.1443999999999999
reward_only,,103,47,5.0214,-0.5609400000000001
reward_only,,103,48,-4.2464,-0.2566200000000001
reward_only,,103,49,5.0258,0.3606600000000001
reward_only,,103,50,1.7455,1.2627599999999999
reward_only,,103,51,-5.0997,1.4444899999999998
reward_only,,103,52,1.502,1.6977799999999998
reward_only,,103,53,4.831,1.27551
reward_only,,103,54,7.234,2.09213
reward_only,,103,55,-5.2716,1.6404800000000002
reward_only,,103,56,7.2205,1.7962500000000001
reward_only,,103,57,6.5927,1.95338
reward_only,,103,58,0.159,2.39392
reward_only,,103,59,5.5457,2.44591
reward_only,,103,60,16.0259,3.8739500000000007
reward_only,,103,61,6.2822,5.0121400000000005
reward_only,,103,62,-0.9787,4.764069999999999
reward_only,,103,63,11.6785,5.4488199999999996
reward_only,,103,64,11.3348,5.8589
reward_only,,103,65,22.3472,8.62078
reward_only,,103,66,11.2924,9.02797
reward_only,,103,67,13.9817,9.76687
reward_only,,103,68,10.6144,10.812410000000002
reward_only,,103,69,26.6152,12.919360000000001
reward_only,,103,70,12.7306,12.589830000000001
reward_only,,103,71,6.4992,12.61153
reward_only,,103,72,10.1197,13.721370000000002
reward_only,,103,73,9.1907,13.47259
reward_only,,103,74,19.4418,14.28329
reward_only,,103,75,19.8024,14.028810000000002
reward_only,,103,76,13.1177,14.211340000000002
reward_only,,103,77,16.5752,14.470690000000001
