method,beta,seed,update,trajectory_count,parameter_count,numerical_rank,minimum_eigenvalue,minimum_eigenvalue_for_log,maximum_eigenvalue,smallest_singular_value,full_condition_number,log10_full_condition_number,effective_rank,components_90,mean_return,fisher_reconstruction_relative_error,eigenvalue_reconstruction_max_abs_error
beta_5e-6,5e-06,102,150,4096,16,16,1.203918875346693e-11,1.203918875346693e-11,141.20421285838307,1.2039022136896864e-11,11728877250389.322,13.069256441160906,2.193039416985319,2,47.23234051254114,1.3144309325903149e-15,1.031952301389083e-13
beta_5e-6,5e-06,102,200,4096,16,16,6.300859093780141e-11,6.300859093780141e-11,312.2775791249507,6.301308821636339e-11,4955757414280.443,12.69511003938726,2.135578410261384,2,73.95336296266058,1.5423028786732635e-15,3.979039320256561e-13
beta_5e-6,5e-06,102,250,4096,16,16,9.54356084775197e-11,9.54356084775197e-11,721.911588824138,9.543591306746238e-11,7564359847574.655,12.878772180683145,1.7047393535248079,2,86.75151398769387,1.1389259268605122e-15,4.547473508864641e-13
beta_5e-6,5e-06,103,50,4096,16,13,-6.9833075368685755e-15,9.762055457697658e-14,439.6438932165729,6.740479093586874e-15,6.522442798388996e+16,16.81441027904049,1.948636056742035,2,-0.6870220085365156,1.0524516835280527e-15,4.547473508864641e-13
beta_5e-6,5e-06,103,100,4096,16,16,2.6488758340613043e-12,2.6488758340613043e-12,585.1887939408822,2.6491963165071116e-12,220892951682960.3,14.344181858496908,1.9312428621084583,2,40.48966722072177,1.9762985328213433e-15,4.263256414560601e-13
beta_5e-6,5e-06,103,150,4096,16,16,7.197817118645594e-11,7.197817118645594e-11,1563.2621094472554,7.197273198184872e-11,21720199670084.85,13.336863813330137,1.5896907516148502,2,86.66990772305613,2.5398640948843876e-15,1.8189894035458565e-12
beta_5e-6,5e-06,103,200,4096,16,16,1.3227809878147137e-10,1.3227809878147137e-10,1730.5392375601136,1.32279956325444e-10,13082399523194.006,13.116687407910845,1.5501670890506838,2,90.32756429139738,1.7894421454605442e-15,2.2737367544323206e-12
beta_5e-6,5e-06,103,250,4096,16,16,2.6497515727097354e-11,2.6497515727097354e-11,2212.970005770556,2.6497102073694076e-11,83517435212945.78,13.921777148853014,1.4961429295726008,1,91.59355340567473,1.6682984633239256e-15,1.2221335055073723e-12
beta_5e-6,5e-06,104,50,4096,16,12,-1.2299581830271243e-14,4.566674979707608e-14,205.6647573693335,3.1505055531005563e-15,6.527992219119544e+16,16.81477962809944,2.015380252698635,2,15.595694666797003,1.784792693685645e-15,4.831690603168681e-13
beta_5e-6,5e-06,104,100,4096,16,13,-1.0316353885025158e-15,3.899002162305844e-14,175.59544685277356,5.19688241320193e-16,3.37886126510576e+17,17.52877036015727,2.0067837311365238,2,18.21395881629251,1.6918960885586541e-15,3.410605131648481e-13
beta_5e-6,5e-06,104,150,4096,16,14,-4.641868131733539e-15,3.434023827913881e-14,154.6546843177436,4.40790876878331e-15,3.5085727139591416e+16,16.545130481561422,1.9174896947736133,2,29.758333657975413,2.043897679837628e-15,3.410605131648481e-13
beta_5e-6,5e-06,104,200,4096,16,14,3.2549821125509856e-15,3.445652445069926e-14,155.17839067665156,3.278982971467863e-15,4.732515905905565e+16,16.675092082294665,1.8970084678503658,2,36.247051804306295,3.1772426142308344e-15,5.115907697472721e-13
beta_5e-6,5e-06,104,250,4096,16,15,1.7425442853624121e-13,1.7425442853624121e-13,133.7507790938431,1.7423360248814312e-13,767652032580483.9,14.885164404177974,2.211966328810032,2,56.17651373767671,1.804282297985791e-15,2.8421709430404007e-13
beta_5e-6,5e-06,105,50,4096,16,11,-9.286391584361216e-14,9.502554873550697e-14,427.9570258759061,2.338346476404801e-14,1.8301694389357064e+16,16.262491299013675,1.8927405015148149,2,6.631333508658127,2.2424917573243013e-15,5.115907697472721e-13
beta_5e-6,5e-06,105,100,4096,16,15,4.686457630438662e-13,4.686457630438662e-13,473.55250498030404,4.684630673054989e-13,1010864117216494.1,15.0046927806066,1.931633180560357,2,29.776719318484325,1.5422711643229796e-15,2.2737367544323206e-13
beta_5e-6,5e-06,105,150,4096,16,16,1.0658033444609991e-10,1.0658033444609991e-10,1028.6747321597784,1.0657999311010914e-10,9651668217852.494,12.984602384348182,1.7082116860693917,2,83.06407958757481,1.7297618842871525e-15,6.821210263296962e-13
beta_5e-6,5e-06,105,200,4096,16,16,1.5176022142799288e-10,1.5176022142799288e-10,1485.3250237319276,1.5175891440258873e-10,9787398846249.195,12.990667286612073,1.5766064546142118,2,89.93593673623025,1.4023235629963876e-15,9.663381206337363e-13
