run_id,method,initialization,update,fisher,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5,eigenvalue_6,minimum_eigenvalue,maximum_eigenvalue,condition_number,trace,logdet,half_logdet,k90,k95,k99,effective_rank,stable_rank
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,0,joint,0.001346838691289284,0.00023852985803932215,2.1098076068979448e-05,3.717411767296082e-06,2.8980262671999194e-07,3.399687012567829e-08,3.399687012567829e-08,0.001346838691289284,39616.54959148721,0.0016105078366617268,-70.47088591871713,-35.235442959358565,2,2,3,1.6569216935685511,1.031618706621967
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,200,policy,0.0035602361197997817,0.0008484669403988292,0.0007168424137556555,0.00019822951196021707,6.731500735177455e-05,1.212913576465942e-05,1.212913576465942e-05,0.0035602361197997817,293.5276007193536,0.005403219129030916,-49.40277486094267,-24.701387430471335,3,4,5,2.7819611497916816,1.1008050659873414
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,200,joint,0.005844427110242398,0.0010445636187251261,0.0009283054834865424,0.0002516650846505572,6.731500735177455e-05,1.212913576465942e-05,1.212913576465942e-05,0.005844427110242398,481.8502508044526,0.008148405440221057,-48.20201129076607,-24.101005645383037,3,3,4,2.4741220795283936,1.0591638183937266
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,400,policy,0.003992896242671041,0.0018124199060268274,0.000693157244847685,0.00048219349299970113,0.0003848206137175935,9.962647218130261e-05,9.962647218130261e-05,0.003992896242671041,40.078667398808165,0.00746511397244415,-43.82456547910601,-21.912282739553007,4,5,6,3.6200067176649817,1.2606660185168743
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,400,joint,0.006377931757686492,0.0026408678363097414,0.000724535456048595,0.0005290704020809299,0.0003848206137175935,9.962647218130261e-05,9.962647218130261e-05,0.006377931757686492,64.01844427533057,0.010756852538024659,-42.84274392294882,-21.42137196147441,3,4,5,3.1490050607464464,1.1951192229156633
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,600,policy,0.003825911283800259,0.0022986057641675517,0.0006960568874585493,0.0005611009562839584,0.0005065805888747755,0.0002252348471085313,0.0002252348471085313,0.003825911283800259,16.986320424728557,0.008113490327693625,-42.383294075098064,-21.191647037549032,4,5,6,3.974487363728224,1.4365656805565927
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,600,joint,0.006020891650589357,0.003205068227321249,0.0006960568874585493,0.0005813241997770339,0.000535681067368417,0.0002252348471085313,0.0002252348471085313,0.006020891650589357,26.731616922882896,0.011264256879623133,-41.50616146950269,-20.753080734751347,4,5,6,3.457430718136273,1.3153716400869573
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,800,policy,0.003670283966154471,0.0025504475049353444,0.000987508282650716,0.000482174951912863,0.0004770061431907734,0.0003194576014078111,0.0003194576014078111,0.003670283966154471,11.489111387489206,0.008486878450251978,-41.8333690849937,-20.91668454249685,4,5,6,4.146642811378643,1.5969894666625866
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,800,joint,0.005750788873049266,0.003402187359470057,0.000987508282650716,0.0005038800868929539,0.0004899239925207971,0.0003194576014078111,0.0003194576014078111,0.005750788873049266,18.001728078174484,0.011453746195991602,-41.02539915832464,-20.51269957916232,4,5,6,3.632357732555756,1.397502271541648
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1000,policy,0.0034099298689176565,0.002678637696397531,0.0012581936463795865,0.00043681207905279314,0.0004176470479923843,0.0003467189851270454,0.0003467189851270454,0.0034099298689176565,9.834851897908573,0.008547939323866997,-41.76546598332752,-20.88273299166376,4,5,6,4.22796395681307,1.7949690223761003
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1000,joint,0.005292289460131949,0.003377675282208132,0.0012581936463795865,0.00045185321731881957,0.00042659473842087363,0.0003467189851270454,0.0003467189851270454,0.005292289460131949,15.263915987158127,0.011153325329586409,-41.03897533392551,-20.519487666962753,4,5,6,3.759436809184188,1.4819320221304753
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1200,policy,0.0030076340667467604,0.002597246857538464,0.0013708611310869231,0.0003835909949200328,0.0003566055609023729,0.00032035811837131435,0.00032035811837131435,0.0030076340667467604,9.388349769431256,0.008036296729565868,-42.203106020185935,-21.101553010092967,4,5,6,4.247991896425922,1.995138960225371
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1200,joint,0.004539162994978422,0.0030803610476916703,0.0013708611310869231,0.00039257785022501796,0.00036347177581973645,0.00032035811837131435,0.00032035811837131435,0.004539162994978422,14.169027518501213,0.010066792918173084,-41.578692959136596,-20.789346479568298,4,5,6,3.854178779522957,1.5706048559800279
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1400,policy,0.0025952980664203117,0.0023517306960785904,0.0013229956906470812,0.0003278912197766566,0.0003056457437670391,0.0002784273193543185,0.0002784273193543185,0.0025952980664203117,9.321276634918181,0.007181988736043999,-42.9367802965578,-21.4683901482789,4,5,6,4.247316110218605,2.122311297256534
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1400,joint,0.0037564998625850836,0.0026711762969895865,0.0013229956906470812,0.00033350628555525594,0.00031076187330863347,0.0002784273193543185,0.0002784273193543185,0.0037564998625850836,13.491850840271429,0.00867336732843996,-42.40604660651245,-21.203023303256224,4,5,6,3.9231810714372894,1.6498924458592767
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1600,policy,0.0023018013330680697,0.002128329825761422,0.0012426666846460466,0.0002864123762456803,0.000271187739790184,0.00024595906763920003,0.00024595906763920003,0.0023018013330680697,9.358473160439063,0.0064763570271506015,-43.598099205284505,-21.799049602642253,4,5,6,4.242450627785916,2.1871905423277824
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1600,joint,0.003217378196610322,0.0023616641875598026,0.0012426666846460466,0.0002904334279558362,0.00027520266137469324,0.00024595906763920003,0.00024595906763920003,0.003217378196610322,13.080949718552066,0.007633304225785897,-43.13055725677985,-21.565278628389926,4,5,6,3.964914942322802,1.709292975612292
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1800,policy,0.0021295396347568163,0.001990519848632423,0.001188470000373066,0.00026037706927103157,0.0002505095203311073,0.00022569248883319153,0.00022569248883319153,0.0021295396347568163,9.435580447388087,0.006045108562197636,-44.04802791161255,-22.024013955806275,4,5,6,4.234400661777408,2.225180422155727
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,1800,joint,0.002913269562711482,0.0021818116608462433,0.001188470000373066,0.0002636999813910511,0.0002538644257155244,0.00022569248883319153,0.00022569248883319153,0.002913269562711482,12.908136986626385,0.007026808119870558,-43.61691337050399,-21.808456685251993,4,5,6,3.98421559259556,1.749096318943674
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,2000,policy,0.0020358764953078523,0.001918342942602655,0.0011614700675483631,0.0002445586797011491,0.00023845062647263963,0.00021344340586061872,0.00021344340586061872,0.0020358764953078523,9.53824966903548,0.005812142217493277,-44.32073353889505,-22.160366769447524,4,5,6,4.223994045531123,2.2524818415273695
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,2000,joint,0.0027531428719038604,0.0020882133002956935,0.0011614700675483631,0.0002476361610397484,0.00024134243954146802,0.00021344340586061872,0.00021344340586061872,0.0027531428719038604,12.898701933671813,0.006705248246189753,-43.90950993486621,-21.954754967433104,4,5,6,3.9896443193183884,1.7750572294532596
