target_gradient_ratio,achieved_fisher_gradient_ratio,effective_fisher_beta,elapsed_seconds,fisher_gradient_norm,fisher_loss,fisher_rank,fisher_surrogate,gradient_cosine,gradient_norm,lambda_max,lambda_min,logdet,parameter_count,return,return_std,reward_gradient_norm,reward_loss,target_fisher_gradient_ratio,total_loss,unscaled_fisher_gradient_norm,update
0.2,0.20000001829683206,0.0006319017238513899,387.81416779896244,2.084895133972168,0.40684356489979245,16,-643.839935140727,0.8522278070449829,12.249939918518066,1114.2668426565574,5.1675178145886915e-08,-69.33141764094798,16,90.16485156091173,1.9887675429756695,10.424474716186523,0.05186200141906738,0.2,0.45870556631885984,3299.3974609375,202
0.2,0.20000002746442827,0.001185624233013767,389.09500800503884,9.722716331481934,0.9126665732956052,16,-769.7772598453693,0.7372280359268188,56.166908264160156,1253.5405996605245,5.152980110611958e-08,-68.1564370244296,16,89.5412671843051,2.2650929132716247,48.61357498168945,-2.336009979248047,0.2,-1.4233434059524417,8200.5029296875,203
0.2,0.19999999631449694,0.0004305454764912106,390.3882382509764,1.2938183546066284,0.3054953611363584,16,-709.5542232287162,-0.10281691700220108,6.465446472167969,1263.563389565972,4.775803062809729e-08,-68.92720591621965,16,89.38139323387246,2.243311083571687,6.469091892242432,0.69681715965271,0.2,1.0023125207890684,3005.06787109375,204
0.2,0.20000001608587023,0.0006330650426700517,391.8527308299672,2.9643232822418213,0.4731259427564299,16,-747.3575554905806,0.5937178134918213,16.752277374267578,1063.8253937435288,4.386169656392081e-08,-67.90671114075812,16,89.34385561550576,2.5714954247169777,14.821615219116211,-2.9780430793762207,0.2,-2.504917136619791,4682.49365234375,205
0.2,0.2,0.0002917655526128482,393.0064140709583,2.877823829650879,0.1623936076987294,16,-556.5893788504018,0.6374416351318359,16.374391555786133,1179.549585514399,4.1346615545647924e-08,-68.93483284012636,16,89.9001917251552,2.4530004252444586,14.389119148254395,-2.584873914718628,0.2,-2.4224803070198986,9863.48046875,206
0.2,0.1999999869517373,0.0007225506996534528,394.2065708680311,5.847057342529297,0.5107485560603914,16,-706.868813919016,-0.8290777206420898,24.60577964782715,1321.4100336378194,5.0459026753738486e-08,-68.24625927172504,16,90.1115486545034,2.277167485163187,29.235288619995117,0.6438047885894775,0.2,1.154553344649869,8092.24560546875,207
0.2,0.20000000380594954,0.0017815140703275104,395.4719824750209,5.0114922523498535,1.8292510982660781,16,-1026.7957625110375,0.14653806388378143,26.263938903808594,1237.3370137756956,4.765219720005288e-08,-68.67066789516383,16,89.87422838677278,2.5189591261232387,25.05746078491211,-2.4616832733154297,0.2,-0.6324321750493516,2813.05224609375,208
0.2,0.19999997946532638,0.0007038989023993769,396.76812818297185,4.644214153289795,0.7804202622924434,16,-1108.7107248387922,-0.1846790611743927,22.824417114257812,1424.4222930140813,2.8685190277170074e-08,-69.49703769383932,16,89.69498820304824,3.2143563980202727,23.221073150634766,-7.381067276000977,0.2,-6.600647013708533,6597.84326171875,209
0.2,0.19999999124924317,0.00016101679811527476,397.99488274997566,1.0898191928863525,0.11622846182258781,16,-721.8405978944992,0.4043406546115875,5.973502159118652,1087.0580702731816,4.0074142698527635e-08,-67.81464378424391,16,90.04327289835672,2.9014754969625587,5.449096202850342,-1.2283048629760742,0.2,-1.1120764011534865,6768.357421875,210
0.2,0.20000000924723044,0.00018181387005151794,399.18518482195213,3.0939242839813232,0.1267094811157551,16,-696.918673365521,0.8035380244255066,18.04990577697754,1315.4659712405823,3.3671203652426055e-08,-67.56424849701865,16,90.49271810033488,2.4425663507830433,15.469620704650879,-1.5372111797332764,0.2,-1.4105016986175212,17016.986328125,211
