update,true_environment_steps,training_return,training_episode_length,beta
750,860317,-86.875,87.875,0.0
751,860985,-82.5,83.5,0.0
752,861661,-83.5,84.5,0.0
753,862329,-82.5,83.5,0.0
754,863144,-100.875,101.875,0.0
755,863977,-103.125,104.125,0.0
756,864693,-88.5,89.5,0.0
757,865489,-98.5,99.5,0.0
758,866133,-79.5,80.5,0.0
759,866829,-86.0,87.0,0.0
760,867505,-83.5,84.5,0.0
761,868267,-94.25,95.25,0.0
762,868973,-87.25,88.25,0.0
763,869735,-94.25,95.25,0.0
764,870427,-85.5,86.5,0.0
765,871101,-83.25,84.25,0.0
766,871792,-85.375,86.375,0.0
767,872501,-87.625,88.625,0.0
768,873258,-93.625,94.625,0.0
769,873912,-80.75,81.75,0.0
770,874629,-88.625,89.625,0.0
771,875318,-85.125,86.125,0.0
772,876106,-97.5,98.5,0.0
