Device       : cpu

========== GPOMDP LOSS ==========
states shape  = (128, 500, 17)
actions shape = (128, 500, 6)
rewards shape = (128, 500)
returns shape = (128, 500)
mask shape    = (128, 500)
log_probs shape = (128, 500)
valid steps = 64000
objective = 35.595642
loss = -35.595642
========== END GPOMDP DEBUG ==========


========== NPG PRECONDITIONING ==========
Fisher condition number  : 7.981e+03
||nat_g|| / ||g||        : 11.921
========== END NPG DEBUG ==========

Iteration 0110 | train reward: 819.49 | best: 822.96 | KL: 7.889e-02 | std: 0.4480 | rollout: 4.929s | update: 0.180s | total: 5.109s | samples/s: 12527
Iteration 0111 | train reward: 801.87 | best: 822.96 | KL: 9.743e-02 | std: 0.4479 | rollout: 4.990s | update: 0.143s | total: 5.133s | samples/s: 12467
Iteration 0112 | train reward: 798.89 | best: 822.96 | KL: 1.503e-01 | std: 0.4505 | rollout: 4.865s | update: 0.188s | total: 5.052s | samples/s: 12668
Iteration 0113 | train reward: 810.05 | best: 822.96 | KL: 1.510e-01 | std: 0.4541 | rollout: 5.014s | update: 0.156s | total: 5.171s | samples/s: 12378
Iteration 0114 | train reward: 836.97 | best: 836.97 | KL: 9.814e-02 | std: 0.4522 | rollout: 5.013s | update: 0.151s | total: 5.164s | samples/s: 12394
Iteration 0115 | train reward: 832.81 | best: 836.97 | KL: 8.893e-02 | std: 0.4503 | rollout: 5.247s | update: 0.151s | total: 5.398s | samples/s: 11856
Iteration 0116 | train reward: 741.60 | best: 836.97 | KL: 1.082e-01 | std: 0.4471 | rollout: 4.914s | update: 0.146s | total: 5.059s | samples/s: 12650
Iteration 0117 | train reward: 807.28 | best: 836.97 | KL: 1.029e-01 | std: 0.4454 | rollout: 5.111s | update: 0.209s | total: 5.320s | samples/s: 12030
Iteration 0118 | train reward: 796.04 | best: 836.97 | KL: 1.066e-01 | std: 0.4445 | rollout: 4.969s | update: 0.154s | total: 5.123s | samples/s: 12493
Iteration 0119 | train reward: 847.10 | best: 847.10 | KL: 8.801e-02 | std: 0.4430 | rollout: 4.928s | update: 0.147s | total: 5.075s | samples/s: 12610
Iteration 0120 | train reward: 845.51 | best: 847.10 | KL: 7.667e-02 | std: 0.4427 | rollout: 4.930s | update: 0.156s | total: 5.086s | samples/s: 12584
Iteration 0121 | train reward: 854.43 | best: 854.43 | KL: 8.313e-02 | std: 0.4425 | rollout: 4.542s | update: 0.146s | total: 4.687s | samples/s: 13654
Iteration 0122 | train reward: 829.65 | best: 854.43 | KL: 9.909e-02 | std: 0.4383 | rollout: 5.367s | update: 0.297s | total: 5.665s | samples/s: 11298
Iteration 0123 | train reward: 856.96 | best: 856.96 | KL: 8.814e-02 | std: 0.4339 | rollout: 5.841s | update: 0.167s | total: 6.008s | samples/s: 10652
Iteration 0124 | train reward: 845.70 | best: 856.96 | KL: 1.319e-01 | std: 0.4373 | rollout: 5.727s | update: 0.196s | total: 5.923s | samples/s: 10805
Iteration 0125 | train reward: 880.51 | best: 880.51 | KL: 1.384e-01 | std: 0.4359 | rollout: 4.948s | update: 0.151s | total: 5.099s | samples/s: 12552
Iteration 0126 | train reward: 829.84 | best: 880.51 | KL: 2.770e-01 | std: 0.4289 | rollout: 4.991s | update: 0.170s | total: 5.161s | samples/s: 12402
