experiment,label,method,alpha,beta,updates,run,finite,final_return,final_q,final_p_good,final_min_pi0,final_min_pi1,final_lambda_min_f_pool,final_logdet_f_pool
basin,basin,reward_only,0.05,0.0,2000,28,1,0.4884255536943922,0.007977649965723874,0.019425825990403794,0.007977649965723874,0.019425825990403794,0.0001465879258512768,-23.998219325022454
basin,basin,reward_only,0.05,0.0,2000,29,1,0.48826683790544445,0.008856904561387503,0.06659821032026507,0.008856904561387503,0.06659821032026507,0.0004938370134493584,-22.523326801981256
basin,basin,reward_only,0.05,0.0,2000,30,1,0.4879886312656793,0.015199345680476413,0.3071519964130675,0.015199345680476413,0.3071519964130675,0.0017649307087051398,-19.875328850822783
basin,basin,reward_only,0.05,0.0,2000,31,1,0.9748496127519053,0.9843363768824476,0.9866950884799705,0.006089064838758735,0.002871029983855161,0.0010580390378198232,-22.967583159712078
basin,basin,reward_only,0.05,0.0,2000,32,1,0.9773690040204475,0.9861534431322142,0.988183578466611,0.004622138837738816,0.002825606166556576,0.0009984978774359653,-23.4418990434795
basin,basin,reward_only,0.05,0.0,2000,33,1,0.9786975384085604,0.9867844803526936,0.9890912620239494,0.0041680049593064246,0.003007895457589237,0.0009897226804848661,-23.629832980358117
basin,basin,reward_only,0.05,0.0,2000,34,1,0.9800496765152618,0.9871262579416397,0.9901964855600115,0.003949636938095549,0.0031703473763432903,0.0009430044698531636,-23.81819973826168
basin,basin,reward_only,0.05,0.0,2000,35,1,0.48793452184128216,0.011659510591285477,0.018497214099013833,0.011659510591285477,0.018497214099013833,0.00020181655781229257,-23.0770568270892
basin,basin,reward_only,0.05,0.0,2000,36,1,0.48745612367072005,0.01479080916386028,0.12247740189886487,0.01479080916386028,0.12247740189886487,0.0012482723491414802,-20.578298780974404
basin,basin,reward_only,0.05,0.0,2000,37,1,0.97266066959778,0.9828283046154638,0.9851013846143957,0.007725397960014018,0.0031157370009820538,0.0011609846960658498,-22.542841985142434
basin,basin,reward_only,0.05,0.0,2000,38,1,0.9772669222061966,0.9863739453464405,0.9877202686622315,0.004976719022291473,0.002620833602096587,0.0009709393047471509,-23.43615411766188
basin,basin,reward_only,0.05,0.0,2000,39,1,0.978734091350279,0.9872276147729047,0.9886269518415063,0.0044006341985869096,0.002704273443621183,0.0009585781115472774,-23.66681286099419
basin,basin,reward_only,0.05,0.0,2000,40,1,0.9797906835725467,0.9876218091378268,0.9893839774211202,0.004155641567336738,0.0029144206361514597,0.0009617222370987823,-23.78436910174623
basin,basin,reward_only,0.05,0.0,2000,41,1,0.9810096789539515,0.9878677505264567,0.9904075250709778,0.004014878348041827,0.003090423203222663,0.0009220630692702025,-23.941090347341092
basin,basin,reward_only,0.05,0.0,2000,42,1,0.4842801247574652,0.02230064707251755,0.01616636466412797,0.01667257170916028,0.01616636466412797,0.0003268603752325793,-21.539317111001427
basin,basin,reward_only,0.05,0.0,2000,43,1,0.9690135524536949,0.9809337965214616,0.9822261477184554,0.00942725888378216,0.004083348389718987,0.0014644295225353814,-21.907942357774008
basin,basin,reward_only,0.05,0.0,2000,44,1,0.9763675489018135,0.9862793747562414,0.9865115811391141,0.005684890411467677,0.0027835838123394475,0.0010441268805042238,-23.214956059202386
basin,basin,reward_only,0.05,0.0,2000,45,1,0.9790112740508238,0.9879252262101826,0.9881130282512126,0.004660857947477873,0.0025257889339030987,0.0009380473535863685,-23.72210667249634
basin,basin,reward_only,0.05,0.0,2000,46,1,0.9801618166515975,0.9884720186099992,0.9888703361794045,0.00433928956375371,0.002637983236235569,0.0009370066324294647,-23.877142584406137
basin,basin,reward_only,0.05,0.0,2000,47,1,0.9810889113980693,0.9887493793569304,0.9895661286096011,0.004182296403203266,0.002856475629100028,0.0009445990579609178,-23.964234875848295
basin,basin,reward_only,0.05,0.0,2000,48,1,0.9822265179213538,0.988933965752206,0.9905460679320393,0.004081929404627583,0.003038130044898444,0.0009085796814515697,-24.104085550407298
basin,basin,detached_conditional,0.05,0.1,2000,0,1,0.3669491692354723,0.17351554220605078,0.07220591795421069,0.14871599048912876,0.07220591795421069,0.009074291609937491,-12.3547871958269
basin,basin,detached_conditional,0.05,0.1,2000,1,1,0.39427718238119014,0.23383811344105335,0.31037928011339616,0.15008655142134517,0.29210399661653674,0.022681075879994902,-10.903950666040853
basin,basin,detached_conditional,0.05,0.1,2000,2,1,0.6072920136977844,0.5957435192592506,0.7630581351468791,0.11934115789872463,0.08600524482172398,0.017371782738963962,-11.419189850954075
basin,basin,detached_conditional,0.05,0.1,2000,3,1,0.7726406152211355,0.8054167405153455,0.8722101799208302,0.07153193812721376,0.05352678900590123,0.011308671873370518,-13.409557014738224
basin,basin,detached_conditional,0.05,0.1,2000,4,1,0.7877452094205422,0.8202857992815541,0.8801282248092379,0.06658328860395438,0.05621863144207289,0.010491601456383708,-13.63929404070732
basin,basin,detached_conditional,0.05,0.1,2000,5,1,0.7921465037838449,0.8237499025059704,0.882456220642801,0.06537052368361347,0.058159910973241156,0.010018860138288437,-13.705576163460691
basin,basin,detached_conditional,0.05,0.1,2000,6,1,0.7950472515459329,0.8255526404861702,0.8841815066786094,0.06487379325019672,0.053302244203276235,0.009519656031869082,-13.756306963494572
basin,basin,detached_conditional,0.05,0.1,2000,7,1,0.369266176764221,0.17868459774266499,0.08980916685934394,0.1458939295612344,0.08980916685934394,0.01105869833608779,-12.128015660973519
basin,basin,detached_conditional,0.05,0.1,2000,8,1,0.4219751519890128,0.28675734977535233,0.43973585438442536,0.147159792945796,0.22381702082204485,0.023429969753463963,-10.648931008656
basin,basin,detached_conditional,0.05,0.1,2000,9,1,0.6995965559900442,0.7201985593095339,0.828967964760375,0.09273251531534336,0.06276435332619676,0.014135739233613207,-12.387848480348786
