seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,barrier_active,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
402,reward_only,100,400000,-500.0,-500.0,500.0,1.0875909328460693,0.27432408928871155,0.19974897801876068,154.7648468017578,0.10902296751737595,0.0,False,53,1.6378959003027513,1.4124081727399297e-10,0.8501294479633651,2.1974741825710735,-816.5006453914772,6019006859.144687,146,1.9568407191102715,4.377584165817968e-10,0.6765250841257854,5.319874586625662,-1831.5293827108824,1545430215.616138
402,reward_only,150,600000,-500.0,-500.0,500.0,1.057243824005127,0.2416999340057373,0.21308939158916473,204.07933044433594,0.22997243702411652,0.0,False,48,1.5058658652295762,1.1290494706921995e-10,0.8315622617401018,2.123215243541356,-737.4798118765301,7365153461.613035,146,1.7856866996836187,2.2101964965413665e-10,0.655746219222013,5.325004294432698,-1861.6218149585015,2966913666.9439106
402,reward_only,200,800000,-500.0,-500.0,500.0,1.059254765510559,0.24335229396820068,0.19270409643650055,136.27178955078125,0.21770085394382477,0.0,False,52,1.4898836846072063,1.1201482324488291e-10,0.8050420989733709,2.1737415688109087,-804.9519917700057,7186924691.327824,146,1.8138435224842366,3.5738123448785664e-10,0.6337513852913181,5.408504602768219,-1854.9816174760158,1773320264.5614908
402,reward_only,250,1000000,-500.0,-500.0,500.0,1.0650336742401123,0.23647494614124298,0.1787666529417038,212.66944885253906,0.18868578970432281,0.0,False,59,1.4771318007352305,1.0691002140707174e-10,0.8156804933963352,2.2644481167806205,-917.6453586815663,7629598073.79087,146,1.8354260385688212,2.8954213695205367e-10,0.6481300585479205,5.444746573179883,-1837.506129742843,2238465410.8401732
402,reward_only,300,1200000,-500.0,-500.0,500.0,1.069272756576538,0.2440851926803589,0.17043817043304443,183.09703063964844,0.1780506819486618,0.0,False,54,1.420015398205875,1.2285067870437532e-10,0.7450584705895531,2.2318411182918134,-839.8835355276512,6064748509.712693,146,1.7464378612435103,4.382734602544956e-10,0.6209178315933349,5.261588800463299,-1873.6266222118127,1416736097.2137847
402,reward_only,350,1400000,-500.0,-500.0,500.0,1.063881516456604,0.23294664919376373,0.15682394802570343,119.28021240234375,0.19559061527252197,0.0,False,53,1.4222739879180666,1.27287061034422e-10,0.7654555172109038,2.1895170804346824,-819.7299235102371,6013616081.558385,146,1.802798925948897,5.799943727161899e-10,0.6322958004503559,5.3876281023209165,-1853.9446113728575,1090175750.3081133
402,reward_only,400,1600000,-500.0,-500.0,500.0,1.0723439455032349,0.24489285051822662,0.17155006527900696,448.3814392089844,0.15569248795509338,0.0,False,58,1.4943176123001634,1.05761654106718e-10,0.8670405099615885,2.2801482836206595,-896.5986532844843,8198061171.4592495,146,1.919779179379763,3.724472916444039e-10,0.6851469362971526,5.540196850664917,-1827.3421314467273,1839580933.1090543
402,reward_only,450,1800000,-500.0,-500.0,500.0,1.0188698768615723,0.17950893938541412,0.14456063508987427,123.0385971069336,0.3536302149295807,0.0,False,52,1.6131955195577599,1.2740624753843405e-10,1.0834273422578735,2.0387733002561985,-798.7515702736692,8503722252.168529,146,1.9695374399782648,2.679958351584488e-10,0.8887549753527533,4.89183481925715,-1852.7467198325232,3316301444.861221
402,reward_only,500,2000000,-500.0,-500.0,500.0,0.9427828192710876,0.16134002804756165,0.14836323261260986,218.98023986816406,0.5608765482902527,0.0,False,52,1.7713625460743725,1.6411052746241647e-10,1.2404954995167736,1.9674098556175668,-795.515111632894,7558902641.397359,146,2.214272789717957,2.2960831516481575e-10,1.067049442902567,4.655549928714055,-1848.5971987509797,4647259582.63587
402,reward_only,550,2199527,-498.125,-500.0,500.0,0.8266189694404602,0.11741844564676285,0.10408129543066025,129.259033203125,0.8500468134880066,0.0,False,48,1.7628281386328921,1.4590237888424674e-10,1.307016149252935,1.8608829299326626,-734.1269066080848,8958155166.81788,146,2.2167604215294623,1.3553067679375491e-10,1.1743172457040716,4.355125132588344,-1879.8124751908767,8664586302.414028
402,reward_only,600,2399527,-500.0,-500.0,500.0,0.7946304082870483,0.09772242605686188,0.08013555407524109,290.84942626953125,0.9298304915428162,0.0,False,48,1.7434623577685122,1.7309019427338693e-10,1.3307786584168002,1.8119118538557097,-727.3863071003104,7688353831.961761,146,2.243090699656811,1.9417841639916661e-10,1.191658477735703,4.408966934463674,-1862.5912050489687,6136925513.317852
402,reward_only,650,2599430,-500.0,-500.0,500.0,0.7403845191001892,0.09748616069555283,0.08118966966867447,139.32594299316406,1.0188641548156738,0.0,False,50,1.6735394995201516,1.6880992334716729e-10,1.2734532607399733,1.8144277958852388,-773.6280640723543,7543710911.597559,146,2.219236825647803,1.2646739143507537e-10,1.1688549057641062,4.418175019384734,-1883.7054726987967,9242342176.118671
402,reward_only,700,2799265,-500.0,-500.0,500.0,0.4735111892223358,0.05095173791050911,0.042648132890462875,185.47439575195312,1.533395528793335,0.0,False,44,1.2071000849436238,1.3057260022680467e-10,0.945148596973518,1.7561335497328066,-685.8729126523183,7238491041.242913,144,1.8435727939886581,1.1734154682072484e-10,0.9494841807194507,4.573586724048139,-1877.182291420639,8091628297.435679
402,reward_only,750,2999265,-500.0,-500.0,500.0,0.5026822090148926,0.05543151870369911,0.04329615831375122,210.88714599609375,1.4706711769104004,0.0,False,45,1.2858083498171202,1.0286906514241915e-10,1.009643620555954,1.7516781197089142,-708.3712497020559,9814841995.09476,145,2.0372460469934555,1.4749512472830568e-10,1.0170855428488232,4.652395059584477,-1873.1566476099658,6895723127.949836
402,reward_only,800,3199075,-494.5625,-500.0,500.0,0.670372486114502,0.09423842281103134,0.0744670182466507,121.75684356689453,1.166161298751831,0.0,False,49,1.5757662587943568,1.3735431848419536e-10,1.196647098425662,1.8483892577142427,-752.3928001220182,8712118494.937267,144,2.1993160345424565,1.6032006824427453e-10,1.1120506376135755,4.600132724412032,-1841.8291439362379,6936440645.217164
402,reward_only,850,3399075,-500.0,-500.0,500.0,0.42916199564933777,0.055017463862895966,0.04129777476191521,150.0110321044922,1.6352393627166748,0.0,False,46,1.112081353009963,1.0553735314412249e-10,0.8569736232244319,1.7918011157110367,-726.7570758005988,8120097744.484299,144,2.0255006863502016,1.0223924097864268e-10,0.9561958805589066,4.899489299064958,-1850.4574024652588,9352533052.926826
402,reward_only,900,3599075,-500.0,-500.0,500.0,0.29441118240356445,0.033499494194984436,0.02690284140408039,89.65702819824219,1.8591301441192627,0.0,False,40,0.7759546486602125,1.2728084463087093e-10,0.597453287597849,1.774968317587506,-625.7993158450364,4693976452.863211,143,1.5594439649545295,1.4861579080599255e-10,0.7180372184483028,5.044935118063242,-1880.9898247815022,4831500169.35717
402,reward_only,950,3799075,-500.0,-500.0,500.0,0.2600996792316437,0.028493639081716537,0.02199213206768036,172.73402404785156,1.9131393432617188,0.0,False,40,0.6898235353305932,1.371643553111665e-10,0.5328501898769539,1.763794791772906,-627.8955739136485,3884757003.1452236,143,1.5626365057055271,1.1491148448788338e-10,0.7209437273873535,5.040452527920162,-1883.4983961740259,6273904915.5993805
402,reward_only,1000,3999075,-500.0,-500.0,500.0,0.2467503845691681,0.024843329563736916,0.02100462093949318,93.88317108154297,1.9267627000808716,0.0,False,39,0.6498496157825399,1.1013788756647304e-10,0.49970205882199664,1.7605564547797545,-619.9300141961588,4537058680.378308,143,1.295347762231912,1.0385837945308515e-10,0.5868007398084966,5.175299223823818,-1932.1371978965665,5650008626.15583
403,logbarrier_handoff_h25,0,0,-500.0,-500.0,500.0,1.0794130563735962,0.24599295854568481,0.21149347722530365,164.29002380371094,0.1397968977689743,76.38691711425781,True,51,1.2556456082170744,1.4400972197419234e-10,0.7462382846553991,2.0734154920353935,-796.5814593212717,5181860463.484061,145,1.4345198815399718,1.2119876389387197e-10,0.6173248990421185,4.9874813514541465,-1896.8002504767794,5093491709.06298
403,logbarrier_handoff_h25,50,198864,-498.21875,-500.0,500.0,1.086946725845337,0.26833784580230713,0.228970006108284,120.8035659790039,0.09957482665777206,54.409027099609375,True,46,1.2174003802530502,1.1426226705390837e-10,0.7260686418614948,2.053625763323537,-715.759801589327,6354404306.707298,141,1.404608863368338,1.0954353317663102e-10,0.5961480174873339,4.916167051850068,-1882.8881110426764,5442110549.110082
403,logbarrier_handoff_h25,100,398526,-499.3125,-500.0,500.0,1.0961427688598633,0.3060843050479889,0.2628245949745178,213.1106719970703,0.035124633461236954,19.19257164001465,True,49,1.1484590250225923,1.4991583398239653e-10,0.6016891598515256,2.138249000921103,-753.7699318167889,4013513075.0910363,143,1.3306822647290482,1.6556388343834146e-10,0.5200714401604316,4.787329460855407,-1906.2826070194205,3141213103.726902
403,logbarrier_handoff_h25,150,597423,-498.28125,-500.0,500.0,1.0964624881744385,0.3099765479564667,0.2700682282447815,93.29420471191406,0.03899950906634331,21.309860229492188,True,49,1.083106656546802,1.003254446659863e-10,0.5532270005664338,2.1107826210973686,-774.5959304607353,5514323932.560614,144,1.2405067208247884,1.1674800100767038e-10,0.49177484944433614,4.4993660057944425,-1974.7801361952147,4212276400.4501147
403,logbarrier_handoff_h25,200,795632,-491.875,-500.0,500.0,1.0971386432647705,0.3142220377922058,0.2603282630443573,237.9889678955078,0.03075540065765381,16.80516242980957,True,47,1.1597846093529354,1.0020615299780247e-10,0.5830891686229596,2.0980842837825913,-743.159718058113,5818895857.979367,145,1.304498690444518,1.939412823149555e-10,0.5191860787231636,4.409370204222604,-1948.4404597594291,2677027152.3729496
403,logbarrier_handoff_h25,249,988185,-489.6875,-110.71875,111.6875,1.0963103771209717,0.313152015209198,0.25328531861305237,279.9908752441406,0.023832404986023903,13.02234935760498,True,49,1.217662827736273,1.1490603722279641e-10,0.6260081195493359,2.123555976305099,-763.5656463985542,5448000250.287468,146,1.3938668849143077,2.2390507933916102e-10,0.5437769264774096,4.674281933721547,-1923.788046610464,2428604693.034773
403,logbarrier_handoff_h25,250,991873,-493.59375,-97.625,98.625,1.0962787866592407,0.3131665289402008,0.25268271565437317,341.4755554199219,0.02788928709924221,0.0,False,47,1.215048264788581,1.18902698364773e-10,0.6257406436240104,2.098544615286515,-733.2994826716537,5262627780.778749,146,1.3956626772563725,2.2470628708298948e-10,0.5447680861233823,4.673704116378488,-1922.8222800250383,2424356226.055154
403,logbarrier_handoff_h25,251,995783,-490.875,-147.84375,148.71875,1.0964096784591675,0.3137144148349762,0.25104695558547974,230.8185577392578,0.02560686320066452,0.0,False,52,1.2165324578966679,1.1230568104769086e-10,0.6222305085009157,2.1621946025231176,-805.8408305700547,5540507859.408146,146,1.3940605376434922,2.2295460207308937e-10,0.5437894462841779,4.676362698955773,-1922.6092611785843,2439014226.339728
