run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
reward_only,gpomdp_reward_only,1075,True,0.003,-497.28125,-500.0,0.03125,-499.93203125,3999329,1000,8000,-499.93215274752964,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1075,True,0.003,-94.625,-83.125,1.0,-177.914453125,1439377,1000,8000,-289.1347657159139,False
reward_only,gpomdp_reward_only,1076,True,0.003,-82.34375,-83.75,1.0,-190.73828125,1500466,1000,8000,-328.44541007385374,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1076,True,0.003,-81.4375,-116.78125,1.0,-164.450796875,1299734,1000,8000,-248.9051889054799,False
reward_only,gpomdp_reward_only,1077,True,0.003,-84.125,-79.78125,1.0,-107.39453125,861610,1000,8000,-131.8918855035921,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1077,True,0.003,-94.65625,-81.4375,1.0,-146.418328125,1171837,1000,8000,-187.70617736564472,False
reward_only,gpomdp_reward_only,1078,True,0.003,-85.90625,-78.34375,1.0,-122.40859375,975943,1000,8000,-193.9116920922892,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1078,True,0.003,-90.53125,-82.90625,1.0,-151.559328125,1208429,1000,8000,-213.0855767850242,False
reward_only,gpomdp_reward_only,1079,True,0.003,-500.0,-500.0,0.0,-499.37890625,3998722,1000,8000,-499.3794379374523,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1079,True,0.003,-96.59375,-86.53125,1.0,-273.2408125,2168163,1000,8000,-407.48865244737135,False
reward_only,gpomdp_reward_only,1080,True,0.003,-88.53125,-80.78125,1.0,-122.25859375,959172,1000,8000,-181.19003529215823,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1080,True,0.003,-88.40625,-75.5625,1.0,-194.039546875,1543619,1000,8000,-327.4401148473976,False
reward_only,gpomdp_reward_only,1081,True,0.003,-86.5,-90.75,1.0,-103.78203125,846336,1000,8000,-124.16761332083239,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1081,True,0.003,-90.1875,-80.4375,1.0,-148.357125,1142056,1000,8000,-190.4845726424536,False
reward_only,gpomdp_reward_only,1082,True,0.003,-85.03125,-84.0625,1.0,-144.51171875,1159945,1000,8000,-254.7082347115596,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1082,True,0.003,-84.21875,-81.125,1.0,-160.7684375,1296634,1000,8000,-241.97102468776848,False
reward_only,gpomdp_reward_only,1083,True,0.003,-78.90625,-82.9375,1.0,-173.71328125,1393886,1000,8000,-296.12338366668797,False
