seed,reward_only_failure,reward_only_final_stochastic_return,reward_only_final_stochastic_termination_rate,reward_only_environment_step_return_auc,logbarrier_handoff_h25_failure,logbarrier_handoff_h25_final_stochastic_return,logbarrier_handoff_h25_final_stochastic_termination_rate,logbarrier_handoff_h25_environment_step_return_auc,discordant
1142,True,-452.84375,0.625,-498.7745364147599,True,-495.28125,0.03125,-499.8478079593472,False
1143,False,-89.59375,1.0,-138.56624741785132,False,-87.21875,1.0,-186.09345922998543,False
1144,False,-86.84375,1.0,-182.4546814071491,False,-83.65625,1.0,-198.4302169985886,False
1145,False,-86.25,1.0,-430.67625245943094,False,-84.21875,1.0,-303.50772054368497,False
1146,True,-500.0,0.0,-499.97345654832213,False,-84.65625,1.0,-310.30472269346063,True
1147,False,-84.6875,1.0,-126.26500479231296,False,-99.40625,1.0,-192.9540169059628,False
1148,False,-80.625,1.0,-206.77773838704923,False,-81.65625,1.0,-198.28784506266658,False
1149,False,-89.0625,1.0,-118.86633754552423,False,-84.53125,1.0,-175.9321421500939,False
1150,False,-89.71875,1.0,-151.79953790417716,False,-87.59375,1.0,-184.91223536333462,False
1151,False,-86.53125,1.0,-276.0539437668441,False,-87.5625,1.0,-331.04177208327457,False
1152,False,-79.03125,1.0,-139.08952197598472,False,-87.5,1.0,-190.3855931645316,False
1153,False,-84.0625,1.0,-114.04810752991997,False,-84.75,1.0,-181.24131770854055,False
1154,False,-89.875,1.0,-203.66590662294854,False,-95.25,1.0,-270.70859006965446,False
1155,False,-103.84375,1.0,-464.7052340998029,False,-88.75,1.0,-338.02962123937795,False
1156,False,-101.46875,1.0,-420.2311473567543,False,-98.78125,1.0,-312.12688239814435,False
1157,False,-87.75,1.0,-402.79446623027235,False,-85.5,1.0,-263.0482483019343,False
1158,False,-86.09375,1.0,-336.9546692621137,False,-96.59375,0.96875,-320.0157662082189,False
1159,False,-80.125,1.0,-131.24041643209128,False,-99.84375,0.96875,-190.6868140891207,False
1160,False,-88.09375,1.0,-143.12499883876032,False,-92.125,1.0,-191.25847846683263,False
1161,False,-83.4375,1.0,-161.4283231671491,True,-500.0,0.0,-499.9611038080415,True
1162,False,-100.15625,0.96875,-209.1200854444668,False,-81.375,1.0,-352.43298798253943,False
1163,False,-82.46875,1.0,-173.0243600439454,False,-84.1875,1.0,-209.1115016498542,False
1164,False,-89.6875,1.0,-375.87317677690856,False,-99.59375,0.96875,-264.60283813351197,False
1165,False,-100.71875,1.0,-145.1005505507919,False,-86.25,1.0,-196.14783116352402,False
1166,False,-89.375,1.0,-206.17815378416716,False,-83.375,1.0,-285.9546232130749,False
1167,False,-83.4375,1.0,-155.12575990747033,False,-95.6875,1.0,-193.1211158467323,False
