initialization,n_trajectories,updates,budget_trajectories,arm,n,successes,success_rate,wilson95_low,wilson95_high,finite_rate,final_pi1_good_median,final_return_median,pi1_good_at_handoff_median
uniform,32,16000,512000,entropy_npg,100,63,0.63,0.5322,0.7182,0.0,0.9729483161901038,0.9285722153261294,0.965096401297582
uniform,32,16000,512000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9976065074580507,0.9955983811777,0.9388208053488791
uniform,32,16000,512000,reward_only_npg,100,100,1.0,0.963,1.0,0.0,1.0,1.0,
uniform,32,16000,512000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.9986798623573243,0.9974653184982796,0.9972540100639723
uniform,128,250,32000,barrier_npg,100,100,1.0,0.963,1.0,1.0,0.9999999999999998,0.9999999999999996,0.7714712077192017
uniform,128,250,32000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.5893005413838144,0.4399077540114184,0.44168877873199747
uniform,128,250,32000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9452487376749149
uniform,128,250,32000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.5923493646475686,0.44177123278657177,0.4449334951159096
uniform,128,250,32000,reward_only_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9999999999998114
uniform,128,250,32000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.6039770932657885,0.4481090738994876,0.45814043213831823
uniform,128,1000,128000,barrier_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.7688047070849646
uniform,128,1000,128000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9450251911307723,0.8941700947423701,0.671570705564219
uniform,128,1000,128000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.94481687871688
uniform,128,1000,128000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9487059767287773,0.9012800405071929,0.7160413339340157
uniform,128,1000,128000,reward_only_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0
uniform,128,1000,128000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.9609641752139859,0.9245789209338782,0.8464078032390016
uniform,128,4000,512000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.7878170408254183,0.6421517177814589,0.7673534511398628
uniform,128,4000,512000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9893655469529019,0.9797901129500182,0.7635823338208951
uniform,128,4000,512000,entropy_npg,100,6,0.06,0.0278,0.1248,0.0,0.9552447021295798,0.8880589071762128,0.946682476173679
uniform,128,4000,512000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9904851162882509,0.9820275124882587,0.9168711101938115
uniform,128,4000,512000,reward_only_npg,100,100,1.0,0.963,1.0,0.0,1.0,1.0,
uniform,128,4000,512000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.994064768435966,0.9886686731639729,0.9860932406038543
uniform,128,16000,2048000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.7890026313831873,0.6428599671531176,0.7680658577197496
uniform,128,16000,2048000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9974405454734794,0.9951138925292146,0.7657558820882384
uniform,128,16000,2048000,entropy_npg,100,10,0.1,0.0552,0.1744,0.0,0.9560950237997283,0.8907116833744635,0.947602145170739
uniform,128,16000,2048000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9976044280139715,0.9956023809614584,0.938531946568193
uniform,128,16000,2048000,reward_only_npg,100,100,1.0,0.963,1.0,0.0,1.0,1.0,
uniform,128,16000,2048000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.9986801995269075,0.9974638190863439,0.9972553260237366
