comparison_family,initialization,n_trajectories,updates,budget_trajectories,left_arm,right_arm,paired_seeds,left_success_rate,right_success_rate,success_rate_difference,left_only_wins,right_only_wins,exact_two_sided_mcnemar_p
barrier_vs_reward_only_natural,uniform,128,250,32000,barrier_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,uniform,128,250,32000,entropy_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,128,250,32000,entropy_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_euclidean,uniform,128,1000,128000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,128,1000,128000,barrier_npg,entropy_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_euclidean,uniform,128,1000,128000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,128,1000,128000,barrier_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,uniform,128,1000,128000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,128,1000,128000,entropy_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_euclidean,uniform,128,4000,512000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,128,4000,512000,barrier_npg,entropy_npg,100,0.0,0.06,-0.06,0,6,0.03125
barrier_vs_reward_only_euclidean,uniform,128,4000,512000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,128,4000,512000,barrier_npg,reward_only_npg,100,0.0,1.0,-1.0,0,100,1.5777218104420236e-30
entropy_vs_reward_only_euclidean,uniform,128,4000,512000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,128,4000,512000,entropy_npg,reward_only_npg,100,0.06,1.0,-0.94,0,94,1.0097419586828951e-28
barrier_vs_entropy_euclidean,uniform,128,16000,2048000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,128,16000,2048000,barrier_npg,entropy_npg,100,0.0,0.1,-0.1,0,10,0.001953125
barrier_vs_reward_only_euclidean,uniform,128,16000,2048000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,128,16000,2048000,barrier_npg,reward_only_npg,100,0.0,1.0,-1.0,0,100,1.5777218104420236e-30
entropy_vs_reward_only_euclidean,uniform,128,16000,2048000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,128,16000,2048000,entropy_npg,reward_only_npg,100,0.1,1.0,-0.9,0,90,1.6155871338926322e-27
