configuration,lb_algorithm,baseline,metric,paired_runs,mean_lb_minus_baseline,ci95_lower,ci95_upper
K0100_alpha0p1,lb_sgb,npg,minimum_probability,100,0.0001867608343638358,0.00016636859594748991,0.00020715307278018166
K0100_alpha0p1,lb_sgb,npg,normalized_log_fisher_volume,100,1502.9055228874754,1357.3373751714066,1648.4736706035442
K0100_alpha0p1,lb_sgb,npg,entropy,100,0.7347823569414887,0.657355982567606,0.8122087313153715
K0100_alpha0p1,lb_sgb,npg,numerically_collapsed,100,-1.0,-1.0,-1.0
K1000_alpha0p01,lb_sgb,sgb,optimal_arm_probability,100,3.074177567905295e-05,-8.220916652571989e-07,6.230564302336309e-05
K1000_alpha0p01,lb_sgb,sgb,expected_reward,100,-0.0010004281680906727,-0.001285545293615184,-0.0007153110425661615
K1000_alpha0p01,lb_sgb,sgb,expected_pseudo_regret,100,0.0010004281680906647,0.0007153110425661532,0.0012855452936151761
K1000_alpha0p01,lb_sgb,sgb,cumulative_pseudo_regret,100,-1.692363679860573,-28.589136180003592,25.204408820282445
K1000_alpha0p01,lb_sgb,sgb,minimum_probability,100,-1.523496543936484e-06,-7.605846039422484e-06,4.558852951549517e-06
K1000_alpha0p01,lb_sgb,sgb,normalized_log_fisher_volume,100,0.00029656984941046183,0.00021756967114085372,0.0003755700276800699
K1000_alpha0p01,lb_sgb,sgb,entropy,100,0.0002990249053860339,0.00021542529755778125,0.0003826245132142865
K1000_alpha0p01,lb_sgb,sgb,numerically_collapsed,100,0.0,0.0,0.0
K1000_alpha0p01,lb_sgb,entropy_sgb,optimal_arm_probability,100,-2.5882895721952328e-06,-3.98740473965534e-05,3.469746825216294e-05
K1000_alpha0p01,lb_sgb,entropy_sgb,expected_reward,100,-0.0011426957669796046,-0.0014473618765994641,-0.0008380296573597451
K1000_alpha0p01,lb_sgb,entropy_sgb,expected_pseudo_regret,100,0.0011426957669796011,0.0008380296573597412,0.001447361876599461
K1000_alpha0p01,lb_sgb,entropy_sgb,cumulative_pseudo_regret,100,-18.09076449465636,-42.342664419773286,6.161135430460568
K1000_alpha0p01,lb_sgb,entropy_sgb,minimum_probability,100,3.9983120896520065e-07,-5.924384238147025e-06,6.724046656077426e-06
K1000_alpha0p01,lb_sgb,entropy_sgb,normalized_log_fisher_volume,100,0.0003614326694537162,0.00027875805978326237,0.0004441072791241701
K1000_alpha0p01,lb_sgb,entropy_sgb,entropy,100,0.00036665001402463204,0.00027945231021984316,0.0004538477178294209
K1000_alpha0p01,lb_sgb,entropy_sgb,numerically_collapsed,100,0.0,0.0,0.0
K1000_alpha0p01,lb_sgb,npg,optimal_arm_probability,100,0.001335350894810432,0.0013124582590455947,0.0013582435305752693
K1000_alpha0p01,lb_sgb,npg,expected_reward,100,-0.2833735702931443,-0.3745463901194854,-0.19220075046680324
K1000_alpha0p01,lb_sgb,npg,expected_pseudo_regret,100,0.2833735702931443,0.19220075046680324,0.3745463901194854
K1000_alpha0p01,lb_sgb,npg,cumulative_pseudo_regret,100,7708.951220373191,5444.583160866383,9973.31927988
K1000_alpha0p01,lb_sgb,npg,minimum_probability,100,0.000688673474538201,0.0006836086286390199,0.0006937383204373822
K1000_alpha0p01,lb_sgb,npg,normalized_log_fisher_volume,100,3722.346946408539,-808.2842117408836,8252.978104557962
K1000_alpha0p01,lb_sgb,npg,entropy,100,6.896698034071691,6.896624303277341,6.896771764866041
K1000_alpha0p01,lb_sgb,npg,numerically_collapsed,100,-0.99,-1.0098421693496131,-0.9701578306503869
K1000_alpha0p1,lb_sgb,sgb,optimal_arm_probability,100,0.07673714041362911,0.011865966476357237,0.141608314350901
K1000_alpha0p1,lb_sgb,sgb,expected_reward,100,-0.14773827553798058,-0.17217858158990912,-0.12329796948605204
K1000_alpha0p1,lb_sgb,sgb,expected_pseudo_regret,100,0.14773827553798058,0.12329796948605204,0.17217858158990912
K1000_alpha0p1,lb_sgb,sgb,cumulative_pseudo_regret,100,3613.695769124981,3173.4858936623264,4053.9056445876354
K1000_alpha0p1,lb_sgb,sgb,minimum_probability,100,7.50231823212823e-05,7.036230833522554e-05,7.968405630733906e-05
K1000_alpha0p1,lb_sgb,sgb,normalized_log_fisher_volume,100,5.975575171764182,5.880278983343957,6.070871360184406
K1000_alpha0p1,lb_sgb,sgb,entropy,100,3.1453210879069644,2.96468421578404,3.3259579600298887
K1000_alpha0p1,lb_sgb,sgb,numerically_collapsed,100,0.0,0.0,0.0
K1000_alpha0p1,lb_sgb,entropy_sgb,optimal_arm_probability,100,0.06673279263211046,-0.0047264654008786905,0.1381920506650996
K1000_alpha0p1,lb_sgb,entropy_sgb,expected_reward,100,-0.14487332995215646,-0.1675187432099157,-0.12222791669439724
K1000_alpha0p1,lb_sgb,entropy_sgb,expected_pseudo_regret,100,0.14487332995215646,0.12222791669439724,0.1675187432099157
K1000_alpha0p1,lb_sgb,entropy_sgb,cumulative_pseudo_regret,100,3609.0066908021695,3196.8825490268637,4021.1308325774753
K1000_alpha0p1,lb_sgb,entropy_sgb,minimum_probability,100,7.501552500187398e-05,7.035539558285335e-05,7.96756544208946e-05
K1000_alpha0p1,lb_sgb,entropy_sgb,normalized_log_fisher_volume,100,5.954081041601424,5.847535913779277,6.060626169423571
K1000_alpha0p1,lb_sgb,entropy_sgb,entropy,100,3.143996854586858,2.963311870955705,3.3246818382180114
K1000_alpha0p1,lb_sgb,entropy_sgb,numerically_collapsed,100,0.0,0.0,0.0
K1000_alpha0p1,lb_sgb,npg,optimal_arm_probability,100,0.11670215188919755,0.05895115181819076,0.17445315196020433
K1000_alpha0p1,lb_sgb,npg,expected_reward,100,0.28585289966679023,0.21249302106714857,0.3592127782664319
K1000_alpha0p1,lb_sgb,npg,expected_pseudo_regret,100,-0.28585289966679023,-0.3592127782664319,-0.21249302106714857
K1000_alpha0p1,lb_sgb,npg,cumulative_pseudo_regret,100,-3387.6404369836855,-5201.125014949139,-1574.1558590182324
K1000_alpha0p1,lb_sgb,npg,minimum_probability,100,7.525035112003994e-05,7.059192839143053e-05,7.990877384864935e-05
K1000_alpha0p1,lb_sgb,npg,normalized_log_fisher_volume,100,5500.071130095408,1865.229221644453,9134.913038546363
K1000_alpha0p1,lb_sgb,npg,entropy,100,3.1581969721397254,2.9775971733414224,3.3387967709380284
K1000_alpha0p1,lb_sgb,npg,numerically_collapsed,100,-1.0,-1.0,-1.0
