configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,optimal_arm_probability,0.622771489288502,0.5400221903565222,0.7055207882204818
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,expected_reward,0.9104905696523968,0.8983396077396057,0.9226415315651879
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,expected_pseudo_regret,0.08950943034760327,0.07735846843481214,0.10166039226039439
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,cumulative_pseudo_regret,3995.5395327014394,3719.6830344173854,4271.396030985494
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,minimum_probability,0.0001867608343638358,0.00016636859594748991,0.00020715307278018166
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,normalized_log_fisher_volume,-2.7828019128544796,-2.862598651705615,-2.7030051740033443
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,entropy,0.7347823569414887,0.657355982567606,0.8122087313153715
K0100_alpha0p1,lb_sgb,100,100,0.0,0.31,0.32,numerically_collapsed,0.0,0.0,0.0
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,optimal_arm_probability,0.001304609150332471,0.0012803003586075016,0.0013289179420574405
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,expected_reward,0.029110995048567997,0.02612099223002452,0.03210099786711147
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,expected_pseudo_regret,0.9708890049514318,0.9678990021328884,0.9738790077699753
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,cumulative_pseudo_regret,25223.38404675831,25148.561006179592,25298.20708733703
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,minimum_probability,0.0006901969721005012,0.0006862975818263353,0.0006940963623746672
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,normalized_log_fisher_volume,-0.011252250410476092,-0.01132557523164471,-0.011178925589307475
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,entropy,6.896400662561071,6.896324655654793,6.896476669467349
K1000_alpha0p01,sgb,100,100,0.0,0.97,1.0,numerically_collapsed,0.0,0.0,0.0
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,optimal_arm_probability,0.0013379392155837195,0.0013110653575305253,0.0013648130736369137
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,expected_reward,0.02925326264745693,0.02625712722530704,0.03224939806960682
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,expected_pseudo_regret,0.9707467373525429,0.967750601930393,0.9737428727746928
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,cumulative_pseudo_regret,25239.782447573114,25162.518265211853,25317.046629934375
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,minimum_probability,0.0006882736443475996,0.0006846866282556413,0.0006918606604395578
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,normalized_log_fisher_volume,-0.011317113230519347,-0.011391045005915623,-0.01124318145512307
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,entropy,6.896333037452433,6.896255712931823,6.896410361973044
K1000_alpha0p01,entropy_sgb,100,100,0.0,0.91,1.0,numerically_collapsed,0.0,0.0,0.0
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,optimal_arm_probability,3.1201092142603104e-11,-2.8701160714687273e-11,9.110334499989349e-11
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,expected_reward,0.31148413717362167,0.2202741848432759,0.40269408950396746
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,expected_pseudo_regret,0.6885158628263782,0.5973059104960324,0.779725815156724
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,cumulative_pseudo_regret,17512.740462705264,15249.49393149937,19775.98699391116
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,minimum_probability,1.0183635979436114e-12,-9.873363675315442e-13,3.024063563418767e-12
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,normalized_log_fisher_volume,-3722.3579020890993,-8252.989058783243,808.2732546050447
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,entropy,1.6533947669524426e-06,-1.5786164297261757e-06,4.885405963631061e-06
K1000_alpha0p01,npg,100,100,0.0,1.0,1.0,numerically_collapsed,0.99,0.9701578306503869,1.0098421693496131
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,optimal_arm_probability,0.0013353509260115243,0.001312458280356459,0.0013582435716665896
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,expected_reward,0.02811056688047732,0.02509298306592903,0.03112815069502561
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,expected_pseudo_regret,0.9718894331195227,0.9688718493049744,0.974907016934071
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,cumulative_pseudo_regret,25221.69168307846,25144.815512559533,25298.56785359739
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,minimum_probability,0.0006886734755565647,0.0006836086297355831,0.0006937383213775464
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,normalized_log_fisher_volume,-0.01095568056106563,-0.01102780391963833,-0.01088355720249293
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,entropy,6.896699687466456,6.896625798357481,6.896773576575431
K1000_alpha0p01,lb_sgb,100,100,0.0,0.95,1.0,numerically_collapsed,0.0,0.0,0.0
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,optimal_arm_probability,0.04996501147556886,0.0065345065930263735,0.09339551635811134
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,expected_reward,0.8199724923608671,0.8010522306756461,0.8388927540460881
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,expected_pseudo_regret,0.180027507639133,0.16110724595391201,0.19894776932435398
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,cumulative_pseudo_regret,9361.05669904849,8988.280428925491,9733.832969171488
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,minimum_probability,2.2716879876640467e-07,2.0736774533609982e-07,2.469698521967095e-07
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,normalized_log_fisher_volume,-7.286471540547857,-7.3610677537993086,-7.211875327296405
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,entropy,0.012875884247429865,0.01184221844746871,0.013909550047391021
K1000_alpha0p1,sgb,100,100,0.0,0.95,0.95,numerically_collapsed,0.0,0.0,0.0
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,optimal_arm_probability,0.05996935925708753,0.012635797127715731,0.10730292138645933
