environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,76000,76000,fixed_reference,analysis-fixed_reference-305-76000,False,155,256,3,768,155,145,1e-10,2.14697021147081,0.6581739802826367,2.3433089519175904e-10,5,4.429662263567477,5.936626827667763,-1762.1789166027,2808737532.2150154,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,88000,88000,fixed_reference,analysis-fixed_reference-305-88000,False,155,256,3,768,155,145,1e-10,2.1477514384743426,0.6588644750121242,2.4524537660457486e-10,5,4.427154575049313,5.933283264466858,-1761.9645868955915,2686552073.413618,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,100000,100000,fixed_reference,analysis-fixed_reference-305-100000,False,155,256,3,768,155,145,1e-10,2.1476076233541836,0.6592303747850172,2.5075422672626746e-10,5,4.424701868814851,5.929557171790202,-1762.0613077814487,2628990080.8119073,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,112000,112000,fixed_reference,analysis-fixed_reference-305-112000,False,155,256,3,768,155,145,1e-10,2.1455643804212836,0.6584458117830008,2.4612664867236155e-10,5,4.423998793380355,5.927289211635343,-1762.5530958838322,2675231696.09931,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,122880,122880,fixed_reference,analysis-fixed_reference-305-122880,False,155,256,3,768,155,145,1e-10,2.1439840655406055,0.657765735949531,2.4248964130102886e-10,5,4.42320183111586,5.924904317377873,-1762.9547553355399,2712551894.6723776,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,0,0,fixed_reference,analysis-fixed_reference-306-0,False,155,256,3,768,155,145,1e-10,2.0402487155906326,0.7666962918159587,1.7997082589761929e-10,5,4.1255519451546085,5.7698048381216065,-1838.9428162657189,4260114315.7064366,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,16000,16000,fixed_reference,analysis-fixed_reference-306-16000,False,155,256,3,768,155,145,1e-10,2.0482368139515303,0.7708450049343007,1.6242677965659535e-10,5,4.124594245162573,5.771101127758058,-1838.8071007540839,4745799963.306731,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,28000,28000,fixed_reference,analysis-fixed_reference-306-28000,False,155,256,3,768,155,145,1e-10,2.051271335119155,0.7725097455085246,1.652493611464143e-10,5,4.1246353821683766,5.772227915254462,-1838.5509631372245,4674812296.696659,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,40000,40000,fixed_reference,analysis-fixed_reference-306-40000,False,155,256,3,768,155,145,1e-10,2.052273015593355,0.7728783789477477,1.6377911277622916e-10,5,4.124591825438001,5.771941371842365,-1838.4527081230221,4719028976.568757,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,52000,52000,fixed_reference,analysis-fixed_reference-306-52000,False,155,256,3,768,155,145,1e-10,2.0498394693715007,0.7715956329569446,1.6612742886977978e-10,5,4.1246731035126105,5.770320118698652,-1838.8610420495868,4644601064.414026,float64,False,parameter_fisher
