Update 0141/1200 | return 27.6922 | logdet -235.65 | lambda_min 6.108e-08 | 9.9s
Update 0142/1200 | return 27.8063 | logdet -240.24 | lambda_min 1.029e-07 | 10.1s
Update 0143/1200 | return 28.1241 | logdet -236.84 | lambda_min 1.095e-07 | 10.1s
Update 0144/1200 | return 28.2427 | logdet -238.50 | lambda_min 7.669e-08 | 10.3s
Update 0145/1200 | return 28.1588 | logdet -231.15 | lambda_min 6.062e-08 | 10.0s
Update 0146/1200 | return 27.9665 | logdet -238.49 | lambda_min 6.831e-08 | 10.1s
Update 0147/1200 | return 27.6864 | logdet -233.80 | lambda_min 7.337e-08 | 10.2s
Update 0148/1200 | return 27.7568 | logdet -232.58 | lambda_min 1.140e-07 | 10.0s
Update 0149/1200 | return 28.3035 | logdet -238.11 | lambda_min 5.499e-08 | 10.3s
Update 0150/1200 | return 27.8755 | logdet -233.79 | lambda_min 6.531e-08 | 10.2s
Update 0151/1200 | return 28.6424 | logdet -238.53 | lambda_min 1.253e-07 | 10.2s
Update 0152/1200 | return 28.0525 | logdet -239.16 | lambda_min 4.477e-08 | 10.5s
Update 0153/1200 | return 27.9164 | logdet -230.31 | lambda_min 7.929e-08 | 10.4s
Update 0154/1200 | return 28.3948 | logdet -229.80 | lambda_min 9.818e-08 | 10.3s
Update 0155/1200 | return 28.3239 | logdet -237.12 | lambda_min 1.372e-07 | 10.4s
Update 0156/1200 | return 28.2459 | logdet -240.03 | lambda_min 6.042e-08 | 10.5s
Update 0157/1200 | return 28.2383 | logdet -233.53 | lambda_min 7.963e-08 | 10.4s
Update 0158/1200 | return 28.2411 | logdet -233.82 | lambda_min 9.607e-08 | 10.3s
Update 0159/1200 | return 28.2636 | logdet -237.46 | lambda_min 8.361e-08 | 10.0s
Update 0160/1200 | return 27.9930 | logdet -236.59 | lambda_min 1.003e-07 | 10.1s
Update 0161/1200 | return 28.8419 | logdet -240.85 | lambda_min 7.838e-08 | 10.0s
Update 0162/1200 | return 28.5649 | logdet -238.16 | lambda_min 1.364e-07 | 10.2s
Update 0163/1200 | return 28.3498 | logdet -234.74 | lambda_min 7.973e-08 | 10.2s
Update 0164/1200 | return 28.5497 | logdet -232.86 | lambda_min 4.735e-08 | 10.3s
Update 0165/1200 | return 28.3903 | logdet -238.16 | lambda_min 8.367e-08 | 10.4s
Update 0166/1200 | return 28.5719 | logdet -236.83 | lambda_min 9.219e-08 | 10.3s
Update 0167/1200 | return 28.5126 | logdet -226.05 | lambda_min 1.048e-07 | 10.3s
Update 0168/1200 | return 28.5158 | logdet -231.61 | lambda_min 7.302e-08 | 10.1s
Update 0169/1200 | return 28.4501 | logdet -238.16 | lambda_min 1.198e-07 | 10.1s
Update 0170/1200 | return 28.1098 | logdet -236.98 | lambda_min 8.047e-08 | 10.5s
