seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,beta,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
512,logbarrier_handoff_h25,249,930981,-228.96875,-107.0625,108.03125,1.044233798980713,0.22445116937160492,0.12185002863407135,256.961181640625,0.32808250188827515,179.26870727539062,546.4135158976487,61,2.1756319440668173,1.3750550203895682e-10,1.1976236273556269,2.2390903315163877,-928.0064374394103,8709641502.318409,146,2.349660632962824,1.2115632944082517e-09,0.7914210528723015,5.530214519202703,-1727.24155598023,653223035.498814
512,logbarrier_handoff_h25,250,933634,-245.59375,-103.96875,104.96875,1.0401558876037598,0.22029434144496918,0.1208052858710289,214.77102661132812,0.288758248090744,0.0,0.0,62,2.175169377461442,1.4639105789312664e-10,1.1912080809207914,2.2819398894408054,-933.1264095190354,8137164237.110969,146,2.3491979417667954,1.1738196013036214e-09,0.7898192343416959,5.536262129196516,-1726.7245831025602,672862536.5128832
512,logbarrier_handoff_h25,251,935814,-239.78125,-91.53125,92.53125,1.038501501083374,0.2191733866930008,0.12084463983774185,249.10604858398438,0.24979837238788605,0.0,0.0,65,2.1724559220910256,1.3739344948670937e-10,1.1895754033123287,2.3021740256902357,-985.159025765015,8658166803.122599,146,2.351562766192634,1.1495066303093806e-09,0.7897784859750102,5.543451567679292,-1725.8881542827478,687058660.7773176
512,logbarrier_handoff_h25,300,1013978,-146.09375,-82.0625,83.0625,0.9143376350402832,0.14932440221309662,0.05659107863903046,165.04212951660156,0.6952927112579346,0.0,0.0,71,2.6007789728869324,2.0605512069227744e-10,1.5960049900238658,2.490876577414745,-1039.5505859492089,7745524521.117523,146,2.639376397950405,9.923345371886987e-10,0.8793972307578767,6.049192420712933,-1663.5619302468601,886190289.465511
512,logbarrier_handoff_h25,350,1071409,-123.21875,-82.84375,83.84375,0.7908315658569336,0.10800362378358841,0.029884394258260727,129.07757568359375,0.8247101902961731,0.0,0.0,73,3.09399203430673,2.0955893758694014e-10,2.0258054204448324,2.5467945862669485,-1054.8752305248763,9666996043.079205,146,2.772073795253415,8.847233082020605e-10,0.950354284611927,6.22584818688767,-1654.1819716254224,1074182488.243971
512,logbarrier_handoff_h25,400,1118490,-106.78125,-86.0625,87.0625,0.6807617545127869,0.07961587607860565,0.016168883070349693,80.86556243896484,1.0561217069625854,0.0,0.0,82,3.586612500196736,3.090998251053831e-10,2.465226219150775,2.5953142159003115,-1167.6091426456137,7975501824.726986,146,2.7402052348277746,6.973012189371588e-10,0.9699174339936203,6.29815511067063,-1673.6855173289955,1390959039.8708737
512,logbarrier_handoff_h25,450,1162998,-110.03125,-81.1875,82.1875,0.597881019115448,0.061927519738674164,0.011501073837280273,164.1770477294922,1.173621416091919,0.0,0.0,85,3.8713854542201407,2.791970358069697e-10,2.7057782176485765,2.578089877974208,-1227.7509897884802,9691285617.800356,146,2.7135634061870824,8.87528589723713e-10,0.9995091603550601,6.102703218870737,-1681.0773172672784,1126171226.4009507
512,logbarrier_handoff_h25,500,1204796,-101.59375,-85.0,86.0,0.4980051517486572,0.04596744850277901,0.006134991068392992,122.07689666748047,1.3093081712722778,0.0,0.0,93,4.180043442420741,3.005050178027113e-10,2.9901738987109807,2.6602880336682704,-1324.9677155692327,9950495737.392649,146,2.674302257213993,5.059256559174023e-10,1.0552917868022096,6.143914608104146,-1709.548220339203,2085863356.5214906
512,logbarrier_handoff_h25,550,1245164,-99.375,-96.375,97.375,0.4385463297367096,0.03813233971595764,0.0037517542950809,71.795166015625,1.3921972513198853,0.0,0.0,87,4.328608910802208,3.737410053759115e-10,3.277463348620669,2.370760830320049,-1220.1372771158565,8769343747.347637,146,2.6634878333792718,4.0469217195215113e-10,1.1348338112368188,6.056255299081641,-1727.372046023203,2804190171.909221
512,logbarrier_handoff_h25,600,1282647,-89.25,-87.3125,88.3125,0.38135257363319397,0.03197338804602623,0.002376354532316327,58.416908264160156,1.4615323543548584,0.0,0.0,86,4.852420944468546,4.314435978831936e-10,3.8060568853064543,2.2600721477304795,-1202.7079145240682,8821678903.059961,146,2.6997562462803693,2.781658501885848e-10,1.2577394509763828,5.779138839112188,-1765.6609493749424,4521545150.577212
