active_beta,active_fisher_beta,environment_steps,fisher_environment_steps,fisher_logdet_condition_number,fisher_logdet_effective_rank,fisher_logdet_frobenius_norm,fisher_logdet_gradient_trajectory_count,fisher_logdet_logdet_margin,fisher_logdet_maximum_eigenvalue,fisher_logdet_minimum_eigenvalue,fisher_logdet_mu,fisher_logdet_parameter_count,fisher_logdet_rank,fisher_logdet_score_backend,fisher_logdet_separate_fisher_batch,fisher_logdet_surrogate_value,fisher_logdet_trace,fisher_logdet_trajectory_count,fisher_policy_update,gradient_environment_steps,mean_batch_return,mean_episode_length,method,reward_loss,run_id,seed,total_loss,update
0.0,4.336134880313252e-07,113120000,48000,8428498828.513837,3.9062726441531446,9131.31494778093,128,-155.11968786230432,7724.568226035634,9.164820904884288e-07,0.0,68,68,vmap,True,-224897.1275171887,15326.034070483762,96,1009,64000,34.65389113653497,500.0,fisher_logdet,-10.262351989746094,seed_24__fisher_logdet,24,-10.16483356183514,1010
0.0,4.336134880313252e-07,113232000,48000,14675943519.441828,3.559353277208328,10477.986634021485,128,-167.7762981206373,8673.697439102405,5.910146374992518e-07,0.0,68,68,vmap,True,-275173.8479812759,16977.955206077488,96,1010,64000,36.16667079964294,500.0,fisher_logdet,-21.27404022216797,seed_24__fisher_logdet,24,-21.154721130129808,1011
0.0,4.336134880313252e-07,113344000,48000,11326204622.33714,3.7534027031726294,10067.324655427528,128,-166.48283808704593,8024.875631893859,7.085229253290625e-07,0.0,68,68,vmap,True,-238266.1106631384,16840.691344316867,96,1011,64000,35.846521956309864,500.0,fisher_logdet,-18.180694580078125,seed_24__fisher_logdet,24,-18.077379180753823,1012
0.0,4.336134880313252e-07,113456000,48000,14260414723.724646,3.5791287648548757,11599.234359620876,128,-159.69429256843637,10105.385002915791,7.086319155994636e-07,0.0,68,68,vmap,True,-221945.88219959033,18675.69275520129,96,1012,64000,35.81246950156043,500.0,fisher_logdet,-4.079338073730469,seed_24__fisher_logdet,24,-3.983099345595715,1013
0.0,4.336134880313252e-07,113568000,48000,17282571605.561287,3.4623331372031334,12287.692722558457,128,-173.16503322748105,11043.524902413235,6.389977807966718e-07,0.0,68,68,vmap,True,-297209.9115659123,19317.624984967937,96,1013,64000,36.07195592849624,500.0,fisher_logdet,1.4097766876220703,seed_24__fisher_logdet,24,1.5386509140536473,1014
0.0,4.336134880313252e-07,113680000,48000,8532373334.788231,3.66931279775616,11433.30793642659,128,-157.00097036311894,9819.363902296082,1.150836176173929e-06,0.0,68,68,vmap,True,-220967.766652625,18665.797454024403,96,1014,64000,35.36226976301435,500.0,fisher_logdet,-3.5197372436523438,seed_24__fisher_logdet,24,-3.423922639611607,1015
0.0,4.336134880313252e-07,113792000,48000,11805186678.645256,3.6625553535648323,9651.53104209765,128,-167.3974118596252,8440.991924549173,7.150240105748033e-07,0.0,68,68,vmap,True,-244297.20667979188,15643.061493661304,96,1015,64000,35.72260661308167,500.0,fisher_logdet,-29.592525482177734,seed_24__fisher_logdet,24,-29.486594918273,1016
0.0,4.336134880313252e-07,113904000,48000,15297582271.389902,3.5679674000451675,10961.032790345256,128,-162.9879760517945,8830.410151619853,5.772422069685358e-07,0.0,68,68,vmap,True,-207965.79673931276,17940.328261159764,96,1016,64000,35.79489918862748,500.0,fisher_logdet,-14.5497407913208,seed_24__fisher_logdet,24,-14.459564016805453,1017
0.0,4.336134880313252e-07,114016000,48000,10968794942.501825,3.7667782909450325,9861.73627487898,128,-164.97742016392624,8174.316998278362,7.452338238729e-07,0.0,68,68,vmap,True,-259718.43989817103,16423.56448300775,96,1017,64000,35.57814677976398,500.0,fisher_logdet,54.29786682128906,seed_24__fisher_logdet,24,54.41048423991936,1018
0.0,4.336134880313252e-07,114128000,48000,9698372209.330097,3.6693696404798763,9642.891001674763,128,-169.94780618077,8112.299813429729,8.36459937640409e-07,0.0,68,68,vmap,True,-287807.96800349,15766.090437920162,96,1018,64000,35.92557377270697,500.0,fisher_logdet,-31.743221282958984,seed_24__fisher_logdet,24,-31.618423866069783,1019
0.0,4.336134880313252e-07,114240000,48000,11292632469.719742,3.6361067596590155,10559.543377223583,128,-170.5666716609402,8625.517102941005,7.638181022954227e-07,0.0,68,68,vmap,True,-276604.4341617839,17367.38695728203,96,1019,64000,35.88134210634938,500.0,fisher_logdet,8.174215316772461,seed_24__fisher_logdet,24,8.294154730274283,1020
0.0,4.336134880313252e-07,114352000,48000,11849840158.024136,3.8089200676293347,10637.33626048557,128,-159.68172477831672,9289.352204946654,7.839221526255235e-07,0.0,68,68,vmap,True,-213856.11345102053,17481.7191188258,96,1020,64000,35.876023140568485,500.0,fisher_logdet,0.09311294555664062,seed_24__fisher_logdet,24,0.18584384084696043,1021
0.0,4.336134880313252e-07,114464000,48000,10448519640.05808,3.5360759799757417,10627.331688077547,128,-161.88572890797428,9144.39087650093,8.751853077294017e-07,0.0,68,68,vmap,True,-234324.53053742554,17057.593864003953,96,1021,64000,35.7678948657686,500.0,fisher_logdet,2.4812698364257812,seed_24__fisher_logdet,24,2.582876113443417,1022
0.0,4.336134880313252e-07,114576000,48000,8551329209.409914,3.7052852212628102,10194.782082962802,128,-162.57311071799444,8551.085983906009,9.999715569944801e-07,0.0,68,68,vmap,True,-229240.5463918386,16798.772160383873,96,1022,64000,36.078779154826584,500.0,fisher_logdet,-4.191652297973633,seed_24__fisher_logdet,24,-4.09225050505446,1023
0.0,4.336134880313252e-07,114688000,48000,11435151965.445824,4.072473619332747,8552.381863921513,128,-158.05961886429535,7168.881653803495,6.26916168273589e-07,0.0,68,68,vmap,True,-222310.8448149672,14643.124525919637,96,1023,64000,36.03121883458032,500.0,fisher_logdet,-21.35352325439453,seed_24__fisher_logdet,24,-21.257126273547122,1024
0.0,4.336134880313252e-07,114800000,48000,11165978722.702368,3.3127613370084297,13058.492965389389,128,-157.07594846334922,11727.312768678092,1.0502718176270956e-06,0.0,68,68,vmap,True,-184737.44085632142,20131.803356229168,96,1024,64000,35.898891702248704,500.0,fisher_logdet,-38.25127410888672,seed_24__fisher_logdet,24,-38.17116946278703,1025
0.0,4.336134880313252e-07,114912000,48000,10053189929.507305,4.0029390367804805,8640.313935082027,128,-162.69492771439798,6836.946015986598,6.800772753650411e-07,0.0,68,68,vmap,True,-203778.68295772903,14858.409699036194,96,1025,64000,35.50038031707632,500.0,fisher_logdet,4.1349945068359375,seed_24__fisher_logdet,24,4.223355692339668,1026
0.0,4.336134880313252e-07,115024000,48000,29659646051.135036,3.351907886107447,12726.462095665815,128,-161.9056110309483,11549.152116801746,3.893894113534027e-07,0.0,68,68,vmap,True,-223053.1977322675,19564.54172080614,96,1026,64000,35.532993857074814,500.0,fisher_logdet,-0.1650686264038086,seed_24__fisher_logdet,24,-0.0683497513185792,1027
0.0,4.336134880313252e-07,115136000,48000,17408905923.42771,3.3921771240002627,12753.144673361683,128,-155.7314038865943,11629.323168680945,6.680099955638797e-07,0.0,68,68,vmap,True,-224349.3929762123,19718.212780007983,96,1027,64000,35.46131142120382,500.0,fisher_logdet,-18.092144012451172,seed_24__fisher_logdet,24,-17.994863089625046,1028
0.0,4.336134880313252e-07,115248000,48000,12678663482.01413,3.7462771095768774,10491.721202062654,128,-163.798951319887,8920.827796735839,7.036094781907311e-07,0.0,68,68,vmap,True,-240277.11827520255,17338.9274227573,96,1028,64000,36.14727197465639,500.0,fisher_logdet,5.606468200683594,seed_24__fisher_logdet,24,5.71065560003302,1029
0.0,4.336134880313252e-07,115360000,48000,18574907876.588654,3.677518050592694,11171.227474066196,128,-163.5672332607509,8606.075255620124,4.633172510355761e-07,0.0,68,68,vmap,True,-240440.1076555924,18556.806399695248,96,1029,64000,35.90672559183446,500.0,fisher_logdet,0.77978515625,seed_24__fisher_logdet,24,0.8840432299931688,1030
0.0,4.336134880313252e-07,115472000,48000,6048502917.584202,3.9554195946525788,9184.070603052467,128,-164.91823684484365,6764.972514220653,1.1184540383627047e-06,0.0,68,68,vmap,True,-236839.2800514909,15796.284741948626,96,1030,64000,35.5335273795512,500.0,fisher_logdet,12.181541442871094,seed_24__fisher_logdet,24,12.284238149197048,1031
0.0,4.336134880313252e-07,115584000,48000,9819462327.803852,3.6025900270715887,10741.63756061848,128,-163.73164777407183,8846.547589644524,9.009197544956698e-07,0.0,68,68,vmap,True,-245995.1700411442,17591.62681195758,96,1031,64000,36.025234289511225,500.0,fisher_logdet,-19.444950103759766,seed_24__fisher_logdet,24,-19.338283280039366,1032
0.0,4.336134880313252e-07,115696000,48000,13872591101.871355,3.734382256785723,10519.51711566203,128,-161.7530380967511,7632.042179399892,5.501526083595415e-07,0.0,68,68,vmap,True,-214284.30503035767,17683.653937715306,96,1032,64000,36.231265760648284,500.0,fisher_logdet,-17.52840805053711,seed_24__fisher_logdet,24,-17.435491485602526,1033
0.0,4.336134880313252e-07,115808000,48000,10574420487.672697,3.851993320276844,9454.355813488175,128,-161.10785749365928,8728.539914034933,8.254390795420298e-07,0.0,68,68,vmap,True,-230837.7378090744,15205.088043698957,96,1033,64000,35.98357888938205,500.0,fisher_logdet,-7.4117279052734375,seed_24__fisher_logdet,24,-7.311633548612784,1034
0.0,4.336134880313252e-07,115920000,48000,21407038388.08264,3.8455229978816887,9792.828692188019,128,-164.49175225131978,8323.535781106391,3.888223877685073e-07,0.0,68,68,vmap,True,-244445.66055784287,16399.72244374048,96,1034,64000,35.158520397906685,500.0,fisher_logdet,12.839912414550781,seed_24__fisher_logdet,24,12.94590735005939,1035
